Id,SuburbName,SuburbCode,SoldDate,DayOfWeek,DayType,HolidayStatus,SoldStatus,Bed,Bath,Garage,LongTermResidentPercent,RentedResidentPercent,SingleResident,Garden,Pool,Heating,Cooling,AvgDaysOnMarketSuburb,PropertySoldInSuburb,LandSize,BuildYear,NumOfTimesSold,NumOfTimesRented,LastSoldPrice,LastRentedPrice,LastSoldYear,LastRentedYear,MinTemp,MaxTemp,AvgRainfall,DistanceCBD,DistanceRailwayStation,DistanceBusStation,DistanceShoppingMall,DistanceSchool,PriceLowEnd,PriceHighEnd,LandArea,Frontage,Slop,ExternalPricePrediction,SimilarPropertyPrice1,SimilarPropertyPrice2,SalePrice
14999,hughesdale,3166,20160430,WkEnd,SDay,WrkngDy,sold,3,1,2,60,30,44,N,N,N,N,70,43.5,613,1980,1,3,NA,400,NA,2012,16.4,24.1,6.2,20,0.9,0.1,1.8,NA,1240000,1660000,615,15.2,NrlyLvl,1360000,1350000,1420000,1192000
15000,hughesdale,3166,20160407,WkDay,ThDay,WrkngDy,sold,5,1,2,52,50,46,N,N,N,N,70,43.5,601,1910,2,0,145200,NA,1993,NA,8.3,18.4,6.8,18.7,0.5,0.2,0.2,0.17,1300000,1740000,605,18.1,NrlyLvl,1368000,1080000,1200000,1200000
15002,hughesdale,3166,20160317,WkDay,ThDay,WrkngDy,sold,3,1,2,55,40,40,N,N,N,N,70,43.5,725,1980,1,0,NA,NA,NA,NA,18.3,32.5,0,20.2,0.6,0.4,1.7,0.42,1240000,1660000,733,16,GntlyInclnd,1247333,1870000,1270000,1150000
15003,hughesdale,3166,20151212,WkEnd,SDay,WrkngDy,sold,3,2,3,54,34,39,Y,N,Y,Y,70,43.5,674,1950,2,0,126000,NA,1990,NA,10.1,18.3,2,21.1,1.1,0.2,0.9,0.03,1180000,1580000,674,16.8,NrlyLvl,1462333,1440000,1240000,1180000
15004,hughesdale,3166,20151205,WkEnd,SDay,WrkngDy,sold,5,2,7,66,31,42,Y,N,Y,N,70,43.5,758,1930,2,0,520000,NA,2003,NA,15.5,25.3,0,20.2,0.4,0.4,1.7,0.35,1180000,1580000,760,16.2,NrlyLvl,1510333,1030000,1220000,1195000
15005,hughesdale,3166,20151114,WkEnd,SDay,WrkngDy,sold,3,1,2,72,16,39,Y,N,Y,N,70,43.5,613,1980,1,0,NA,NA,NA,NA,12.1,18.3,0.2,20.5,0.8,0.2,1.9,0.44,1240000,1660000,612,15.2,NrlyLvl,1355333,1440000,1350000,1180000
15006,hughesdale,3166,20150926,WkEnd,SDay,WrkngDy,sold,3,2,1,63,39,51,Y,N,N,N,70,43.5,697,1920,2,0,285000,NA,1999,NA,6.6,17.9,0,19.6,0.3,0.3,1.4,0.68,975000,1830000,703,15.4,NrlyLvl,1286000,1420000,1760000,1140000
15007,hughesdale,3166,20150314,WkEnd,SDay,WrkngDy,sold,3,1,2,55,40,40,Y,N,Y,Y,70,43.5,562,1940,1,0,NA,NA,NA,NA,9.4,30.1,0,19.9,0.2,0.2,1.8,0.67,1240000,1660000,561,13.5,NrlyLvl,1345729,1440000,1350000,1160000
15008,hughesdale,3166,20141206,WkEnd,SDay,WrkngDy,sold,3,2,4,60,30,44,Y,N,Y,Y,70,43.5,613,2002,2,0,335000,NA,2002,NA,15.4,22.7,2.6,20,0.4,0.2,1.9,NA,1430000,1920000,613,15.3,NrlyLvl,1551667,1440000,1160000,1138000
15009,hughesdale,3166,20140526,WkDay,MDay,WrkngDy,sold,4,2,1,60,30,44,Y,N,N,N,70,43.5,613,2001,3,0,420000,NA,2003,NA,11.8,22.2,0,20,0.3,0.1,1.9,NA,1430000,1920000,612,15.3,NrlyLvl,1551667,1440000,1350000,1125000
15014,huntingdale,3166,20170617,WkEnd,SDay,WrkngDy,sold,4,1,2,70,29,46,Y,N,Y,N,59.5,16.5,603,1960,2,0,953000,NA,2016,NA,4.2,15.5,0,21.5,0.7,0.7,1.6,0.97,975000,1290000,603,15.2,NrlyLvl,1196667,1100000,1200000,1145000
15015,huntingdale,3166,20170401,WkEnd,SDay,WrkngDy,sold,3,2,2,55,37,47,Y,N,N,N,59.5,16.5,602,1950,2,0,637500,NA,2010,NA,10,19,0,21.1,0.6,0.5,1.3,0.8,1030000,1360000,610,21.4,NrlyLvl,1183333,997000,1100000,1145000
15017,oakleigh,3166,20170527,WkEnd,SDay,WrkngDy,sold,3,1,2,68,26,44,Y,N,Y,N,98,59,475,1920,4,0,510411,NA,2012,NA,11.9,17.8,0,20.1,0.4,0.4,1.1,0.82,845000,1110000,475,15,NrlyLvl,1203333,1120000,1220000,1170000
15018,oakleigh,3166,20170422,WkEnd,SDay,WrkngDy,sold,4,2,2,60,30,40,Y,N,Y,N,98,59,530,1985,1,0,NA,NA,NA,NA,16.9,22.5,4.6,19.7,1.6,0.2,1.5,0.87,1030000,1360000,538,24.9,GntlyInclnd,1222833,1080000,1100000,1145000
15019,oakleigh,3166,20170218,WkEnd,SDay,WrkngDy,sold,4,2,2,82,14,33,Y,N,Y,Y,98,59,526,1986,1,1,NA,590,NA,2017,13.3,18.9,0,20.7,0.3,0.3,1.4,0.73,1120000,1510000,531,NA,GntlyInclnd,1091667,1280000,955000,1200000
15020,oakleigh,3166,20161029,WkEnd,SDay,WrkngDy,sold,3,1,2,50,57,52,N,N,N,N,98,59,220,1975,1,0,NA,NA,NA,NA,9.3,25.6,0,19.2,0.3,0.2,0.6,1.98,1180000,1580000,721,19.1,NrlyLvl,1029000,1480000,1160000,1175000
15021,oakleigh,3166,20161008,WkEnd,SDay,WrkngDy,sold,4,3,2,66,22,42,Y,N,Y,Y,98,59,543,1983,3,0,701000,NA,2008,NA,9.7,16.9,0,20.4,0.6,0.6,0.5,0.95,1120000,1510000,543,15.3,NrlyLvl,1323333,1480000,985000,1160000
15022,oakleigh,3166,20160909,WkDay,FDay,WrkngDy,sold,3,2,4,60,30,40,N,N,Y,Y,98,59,780,1960,2,1,1225000,695,2015,2016,16,16.7,0.6,23.9,17.4,2.6,15.3,0.6,1080000,1430000,784,21.4,NrlyLvl,1136296,970000,1080000,1155250
15023,oakleigh,3166,20160625,WkEnd,SDay,WrkngDy,sold,3,1,2,60,30,40,Y,Y,N,N,98,59,697,1980,2,1,1005000,350,2015,2015,5.6,12.7,2,19.8,3,0.2,2,0.83,1120000,1510000,697,15.3,GntlyInclnd,1149629,970000,1020000,1124000
15024,oakleigh,3166,20160428,WkDay,ThDay,WrkngDy,sold,5,2,0,64,30,48,Y,N,Y,N,98,59,594,1930,3,0,139950,NA,1994,NA,19.8,24.9,0,20.9,0.9,0.3,1.3,0.74,1120000,1510000,603,15.4,NrlyLvl,1163333,1080000,1100000,1100000
15025,oakleigh,3166,20151118,WkDay,WDay,WrkngDy,sold,3,1,2,48,29,49,Y,N,Y,Y,98,59,795,1910,5,0,240000,NA,1999,NA,14.7,29.5,0,19.5,0.7,0.3,0.7,1.75,1240000,1660000,779,14.2,GntlyInclnd,1292963,1080000,1100000,1200000
15026,oakleigh,3166,20151024,WkEnd,SDay,WrkngDy,sold,3,1,2,50,57,52,Y,N,N,N,98,59,557,1980,1,0,NA,NA,NA,NA,9.2,19.5,0,18.8,1.7,0.1,1,2.21,1120000,1510000,544,15.1,NrlyLvl,1051000,1480000,1500000,1100000
15027,oakleigh,3166,20150613,WkEnd,SDay,WrkngDy,sold,4,3,2,63,30,36,Y,N,Y,N,98,59,543,1930,4,0,1163000,NA,2015,NA,6,18.2,0,20.3,0.092,0.092,0.2,0.75,1240000,1660000,549,15.4,NrlyLvl,1482833,1480000,985000,1163000
