
ID,PredictedPrice,ActualPrice,Difference,PercentDiff
3336,813268.94,820000,6731.060000000056,0.8208609756097629
3338,963143.25,835666,127477.25,15.25456940930946
3341,824040.44,800000,24040.439999999944,3.005054999999993
3405,901201.5,850000,51201.5,6.0237058823529415
12952,364968.22,338000,26968.219999999972,7.978763313609459
12975,350343.4,340000,10343.400000000023,3.042176470588242
12979,381408.12,380000,1408.1199999999953,0.37055789473684086
12991,384899.12,365000,19899.119999999995,5.4518136986301355
12995,391576.94,360000,31576.940000000002,8.771372222222224
12997,365994.88,365000,994.8800000000047,0.2725698630136999
12998,335772.4,372000,36227.59999999998,9.738602150537629
13013,396116.6,375000,21116.599999999977,5.631093333333327
13014,419427.53,380000,39427.53000000003,10.375665789473691
13015,385712.62,381500,4212.619999999995,1.1042254259501953
13016,382983.66,372000,10983.659999999974,2.9525967741935415
13062,401715.28,370000,31715.280000000028,8.571697297297305
13066,352290.94,360000,7709.059999999998,2.141405555555555
13070,435457.7,380000,55457.70000000001,14.594131578947373
13072,363170.78,375000,11829.219999999972,3.1544586666666588
13076,469021.34,410000,59021.340000000026,14.39544878048781
13077,495970.28,410000,85970.28000000003,20.968360975609762
13078,487198.78,440000,47198.78000000003,10.726995454545461
13079,460655.28,441500,19155.280000000028,4.338681766704424
13082,434808.34,448000,13191.659999999974,2.9445669642857086
13083,476403.88,430000,46403.880000000005,10.7916
13084,416433.62,450000,33566.380000000005,7.4591955555555565
13091,449464.7,430000,19464.70000000001,4.526674418604654
13092,452261.34,420000,32261.340000000026,7.681271428571435
13094,441934.34,440000,1934.3400000000256,0.4396227272727331
13099,434808.34,448000,13191.659999999974,2.9445669642857086
13100,417632.38,429000,11367.619999999995,2.649794871794871
13146,481379.25,445000,36379.25,8.17511235955056
13148,448078.25,435000,13078.25,3.0064942528735634
13149,413321.44,410000,3321.4400000000023,0.8101073170731714
13150,411016.53,440500,29483.469999999972,6.693182746878541
13153,405724.78,405000,724.7800000000279,0.17895802469136493
13211,422138.38,442500,20361.619999999995,4.60149604519774
13217,454255.34,455000,744.6599999999744,0.16366153846153284
13221,416433.62,450000,33566.380000000005,7.4591955555555565
13227,454700.06,472000,17299.940000000002,3.6652415254237294
13232,394653.97,495000,100346.03000000003,20.271925252525257
13275,481944.06,460000,21944.059999999998,4.770447826086956
13340,471807.22,475000,3192.780000000028,0.6721642105263217
13346,517259.22,470000,47259.21999999997,10.055153191489357
13357,459385.06,501000,41614.94,8.306375249500999
13358,547646.7,550000,2353.3000000000466,0.42787272727273573
13359,532830.44,510000,22830.439999999944,4.4765568627450865
13360,593093.56,535000,58093.560000000056,10.858609345794402
13366,632783.75,520000,112783.75,21.689182692307693
13414,415168.12,508000,92831.88,18.273992125984254
13528,553338.75,582000,28661.25,4.924613402061856
13530,547646.7,550000,2353.3000000000466,0.42787272727273573
13542,622544.7,573000,49544.69999999995,8.646544502617793
13545,640312.7,575000,65312.69999999995,11.3587304347826
13552,550238.06,575000,24761.939999999944,4.306424347826077
13587,522570.7,585000,62429.29999999999,10.671675213675211
13588,557529.06,582500,24970.939999999944,4.286856652360505
13677,530137.8,595000,64862.19999999995,10.901210084033606
14470,881430.1,835000,46430.09999999998,5.560491017964069
14471,916554.44,810000,106554.43999999994,13.154869135802464
14474,848171.75,807000,41171.75,5.101827757125155
14475,817736.56,802000,15736.560000000056,1.9621645885286854
14493,740888.75,840000,99111.25,11.798958333333333
14494,1043526.8,850000,193526.80000000005,22.767858823529416
14496,920994.06,830000,90994.06000000006,10.963139759036151
14497,831444.94,812888,18556.939999999944,2.2828409325761903
14500,851444.56,836000,15444.560000000056,1.8474354066985714
14501,937647.56,815000,122647.56000000006,15.048780368098166
14502,906169.1,810000,96169.09999999998,11.872728395061726
14503,830475.3,820000,10475.300000000047,1.2774756097561033
14504,913008.56,830000,83008.56000000006,10.001031325301211
14536,827217.3,846000,18782.699999999953,2.2201773049645332
14537,889464.6,810500,78964.59999999998,9.742702035780379
14541,924653.3,850000,74653.30000000005,8.782741176470592
14542,812200.44,800000,12200.439999999944,1.525054999999993
14543,789590.44,805000,15409.560000000056,1.9142310559006281
14554,870099.25,855000,15099.25,1.7659941520467837
14556,953183.9,870000,83183.90000000002,9.561367816091956
14557,940191.94,870000,70191.93999999994,8.068039080459764
14562,902880.56,892000,10880.560000000056,1.2197937219731005
14563,917396.8,886500,30896.800000000047,3.4852566271855663
14564,841311.6,850000,8688.400000000023,1.0221647058823558
14565,924857.8,896000,28857.800000000047,3.2207366071428623
14566,969708.2,897000,72708.19999999995,8.105707915273127
14567,844455.06,860500,16044.939999999944,1.864606624055775
14568,898589.6,867000,31589.599999999977,3.6435524798154533
14573,908678.25,894000,14678.25,1.6418624161073825
14575,833536.94,860000,26463.060000000056,3.0771000000000064
14576,829673.9,880000,50326.09999999998,5.718874999999998
14577,976468.9,900000,76468.90000000002,8.496544444444448
14578,901236.1,865000,36236.09999999998,4.189144508670518
14580,960275.1,852000,108275.09999999998,12.708345070422533
14581,951602.44,899000,52602.439999999944,5.851216907675188
14595,949945.06,880000,69945.06000000006,7.948302272727278
14597,923548.1,900000,23548.099999999977,2.6164555555555533
14598,966429.9,900000,66429.90000000002,7.381100000000003
14599,805704.44,885000,79295.56000000006,8.959950282485881
14600,1029384.44,900000,129384.43999999994,14.376048888888882
14601,779807,860000,80193.0,9.324767441860466
14620,907698.4,900000,7698.400000000023,0.8553777777777805
14622,906300.94,866000,40300.939999999944,4.653688221709
14623,1043526.8,850000,193526.80000000005,22.767858823529416
14624,867665.44,900000,32334.560000000056,3.592728888888895
14626,1082824.9,900000,182824.8999999999,20.313877777777765
14628,866525.44,870000,3474.560000000056,0.3993747126436846
14630,1141440.5,871000,270440.5,31.049425947187142
14631,943622.6,860000,83622.59999999998,9.72355813953488
14649,897333.5,900000,2666.5,0.29627777777777775
14650,918210.2,860000,58210.19999999995,6.7686279069767386
14652,888054.2,860000,28054.199999999953,3.262116279069762
14654,924653.3,850000,74653.30000000005,8.782741176470592
14656,951330.25,868000,83330.25,9.600259216589862
14657,852705.06,860000,7294.939999999944,0.8482488372092959
14658,900354.75,870000,30354.75,3.489051724137931
14681,947454.3,930000,17454.300000000047,1.8768064516129082
14683,895127.4,925000,29872.599999999977,3.2294702702702676
14685,1077408.1,910000,167408.1000000001,18.396494505494516
14688,996973.5,941000,55973.5,5.948299681190223
