SalePrice,date,id
476714.93517911603,20140628,144
625515.7747773846,20180505,X144
538987.5057160422,20141112,201
692304.298941395,20180505,X201
651465.4025112073,20141014,362
881074.1207457281,20180505,X362
599751.5926039125,20140412,367
778088.5005187807,20180505,X367
937397.5064099333,20140222,466
1402552.4065320492,20180505,X466
715333.4822336622,20160121,524
802078.1637308914,20180505,X524
845569.5340313739,20150318,613
1085186.6528457063,20180505,X613
932644.3287048017,20140531,616
1320314.9705894906,20180505,X616
900813.4745135122,20141025,646
1250576.9389810937,20180505,X646
829395.454488582,20140816,650
1108476.1364604377,20180505,X650
945405.0554069066,20151104,729
1180463.3173617267,20180505,X729
882596.21279759,20151219,781
1084762.90454678,20180505,X781
942736.9495139119,20170916,806
994190.049365725,20180505,X806
995762.9239857552,20150221,824
1305139.5318974536,20180505,X824
929443.9617620324,20141030,828
1290569.2129853256,20180505,X828
1016674.5138551624,20170522,882
1079048.4085739476,20180505,X882
917002.3790497975,20150907,888
1113075.0836212914,20180505,X888
959710.2295267199,20150711,890
1170421.4485664868,20180505,X890
920185.3370415248,20150323,893
1155290.214710043,20180505,X893
913058.7534447334,20150713,938
1079211.6681836054,20180505,X938
1045135.2672234018,20150428,940
1298321.1040630287,20180505,X940
1002071.1388893235,20150411,969
1268333.7290719934,20180505,X969
994038.2320374772,20141203,971
1374230.6340116365,20180505,X971
1053886.3368732836,20151017,999
1307616.1849956384,20180505,X999
986818.1339198421,20150623,1001
1218842.156183862,20180505,X1001
1255087.332760967,20150329,1033
1610398.7611465927,20180505,X1033
1113192.536609332,20150321,1034
1400500.627132571,20180505,X1034
1130575.7334186023,20170624,1046
1189742.6770265286,20180505,X1046
1175287.661699042,20170429,1047
1246968.2255225608,20180505,X1047
1176113.588231385,20160604,1058
1376533.1541191658,20180505,X1058
1086614.6600150967,20160604,1059
1250427.397188417,20180505,X1059
1063601.0017999744,20151201,1060
1330117.343146315,20180505,X1060
1090322.006019634,20150926,1061
1281210.8180459866,20180505,X1061
1044700.3151155718,20150704,1063
1277370.09856553,20180505,X1063
1222684.8275969115,20160305,1100
1437957.0580629904,20180505,X1100
1006526.0076627004,20150817,1102
1233482.5944763534,20180505,X1102
1114420.328000721,20150605,1103
1387766.994371008,20180505,X1103
1266748.388125878,20170224,1111
1359709.2930765522,20180505,X1111
1359388.0537231506,20160625,1116
1608996.2620042274,20180505,X1116
1151887.119441166,20150718,1129
1407395.6195825431,20180505,X1129
1224261.7700898724,20150328,1135
1524215.004399623,20180505,X1135
1343901.999721182,20150321,1136
1692093.0008258205,20180505,X1136
1138675.591290097,20170422,1157
1203406.8791283628,20180505,X1157
1172100.7594550217,20150816,1175
1448121.6293922684,20180505,X1175
1295544.3599572051,20150711,1176
1596329.957216446,20180505,X1176
1210221.2708170675,20150321,1181
1515361.5551305804,20180505,X1181
1140901.3947379747,20141002,1185
1499019.0270581357,20180505,X1185
1198756.332072302,20140905,1186
1604222.0171590948,20180505,X1186
1114420.328000721,20150605,1202
1387766.994371008,20180505,X1202
1378738.098224376,20160319,1216
1622740.8645861696,20180505,X1216
1222339.4099614583,20151009,1219
1496903.5226335332,20180505,X1219
1278603.9215290712,20150926,1220
1568506.586892245,20180505,X1220
1350998.3571086742,20150704,1222
1702268.9125283088,20180505,X1222
1293729.5764852955,20150613,1223
1607665.6038818255,20180505,X1223
1308835.7190586713,20150314,1228
1636831.505230454,20180505,X1228
1421544.3468260486,20150313,1229
1798068.803262113,20180505,X1229
1371550.278700481,20180101,1237
1374654.6477209972,20180505,X1237
1236133.956140702,20170208,1246
1339266.8452008236,20180505,X1246
1193404.3416869699,20170130,1247
1265164.0324025312,20180505,X1247
1314947.3479021236,20161210,1248
1485722.998504752,20180505,X1248
1277148.2027335663,20161203,1250
1440348.8032741165,20180505,X1250
1274453.102475501,20161203,1251
1450336.4706435725,20180505,X1251
1268760.5309159937,20160604,1254
1472398.5320280988,20180505,X1254
1428431.6531277692,20151107,1255
1730676.7860163841,20180505,X1255
1253013.140341989,20151016,1257
1547689.0348828612,20180505,X1257
1195377.436561385,20151013,1258
1466215.9736492254,20180505,X1258
1324356.025215555,20141015,1262
1761214.229022257,20180505,X1262
1354853.3178244724,20161112,1272
1539302.6311267314,20180505,X1272
1330736.2724253864,20160722,1273
1547346.1293029953,20180505,X1273
1420341.6223572774,20150321,1286
1756323.0059490895,20180505,X1286
1463081.010767388,20170408,1295
1539765.4444356412,20180505,X1295
1311951.2271915034,20161105,1297
1477440.7626811534,20180505,X1297
1463696.9816905155,20170325,1311
1559632.9306061885,20180505,X1311
1462066.8508015263,20150509,1327
1774089.2510349287,20180505,X1327
1488398.7909665222,20170520,1336
1566628.7938534182,20180505,X1336
1499370.5962847753,20150810,1343
1811961.6916027146,20180505,X1343
1251586.2949431913,20151212,2223
1540667.3491449913,20180505,X2223
1183036.3168264886,20151121,2224
1459506.104880494,20180505,X2224
