,SuburbCode,SoldDate,Bed,Bath,Garage,LongTermResidentPercent,RentedResidentPercent,SingleResident,AvgDaysOnMarketSuburb,PropertySoldInSuburb,LandSize,BuildYear,NumOfTimesSold,NumOfTimesRented,LastSoldPrice,LastRentedPrice,LastSoldYear,LastRentedYear,MinTemp,MaxTemp,AvgRainfall,DistanceCBD,DistanceRailwayStation,DistanceBusStation,DistanceShoppingMall,DistanceSchool,PriceLowEnd,PriceHighEnd,Frontage,ExternalPricePrediction,SimilarPropertyPrice1,SimilarPropertyPrice2,UnitNumber_EIGHT,UnitNumber_FIVE,UnitNumber_FOUR,UnitNumber_NINE,UnitNumber_ONE,UnitNumber_SEVEN,UnitNumber_SIX,UnitNumber_THREE,UnitNumber_TWO,StreetNumber_EIGHT,StreetNumber_FIVE,StreetNumber_FOUR,StreetNumber_NINE,StreetNumber_ONE,StreetNumber_SEVEN,StreetNumber_SIX,StreetNumber_THREE,StreetNumber_TWO,SuburbName_ashburton,SuburbName_ashwood,SuburbName_burwood,SuburbName_chadstone,SuburbName_clayton,SuburbName_hughesdale,SuburbName_huntingdale,SuburbName_oakleigh,DayOfWeek_WkDay,DayOfWeek_WkEnd,DayType_FDay,DayType_MDay,DayType_SDay,DayType_ThDay,DayType_TuDay,DayType_WDay,HolidayStatus_HliDy,HolidayStatus_WrkngDy,SoldStatus_sold,PropertyType_AptFlat,PropertyType_AptFltHseVilla,PropertyType_AptHse,PropertyType_AptHseTwnHse,PropertyType_AptTwHse,PropertyType_BlkUnt,PropertyType_Hse,PropertyType_HseTwnHse,PropertyType_HseVacLnd,PropertyType_TwnHse,Garden_N,Garden_Y,Pool_N,Pool_Y,Heating_N,Heating_Y,Cooling_N,Cooling_Y,Slop_GntlyInclnd,Slop_ModInclnd,Slop_NrlyLvl
225,0.5116279069767415,0.9999504925986002,0.5374933317397155,0.7564707973660301,0.5,0.7560975609756098,0.16091954022988506,0.800276199104165,0.0,0.41000000000000003,0.8575446969001641,0.9558531746031745,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.25217391304347825,0.3762135922330097,0.0,0.072072072072072,0.09008676999484189,0.23610538834464947,0.31046624998436195,0.10225974541451523,0.9206349206349207,0.9433198380566802,0.0,0.698718076923077,0.9860963683298424,0.7067137809187279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1
226,0.5116279069767415,0.7528838061289775,0.6444425975133798,0.44250704934976004,0.7324867603589634,0.7804878048780488,0.1724137931034483,0.7870317428941548,0.6363636363636362,0.41999999999999993,0.8641412474024269,0.9796626984126984,0.5283208335737188,0.0,0.9557967969711231,0.0,0.9965277777777777,0.0,0.508695652173913,0.4150485436893204,0.0,0.1711711711711712,0.6963956201889717,0.26568807961239777,0.11646041266761478,0.3637362640929573,0.7566137566137566,0.7773279352226721,0.6627906976744187,0.5996796153846154,0.9409189890501913,0.5229681978798586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1
227,0.5116279069767415,0.9999504925986002,0.6444425975133798,0.44250704934976004,0.7324867603589634,0.7804878048780488,0.1724137931034483,0.7870317428941548,0.6363636363636362,0.41999999999999993,0.8641412474024269,0.9796626984126984,0.5283208335737188,0.0,0.9557967969711231,0.0,0.9965277777777777,0.0,0.508695652173913,0.4150485436893204,0.0,0.1711711711711712,0.6963956201889717,0.26568807961239777,0.11646041266761478,0.3637362640929573,0.7566137566137566,0.7773279352226721,0.6627906976744187,0.5996796153846154,0.9409189890501913,0.5229681978798586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1
228,0.5116279069767415,0.5023268478637419,0.6444425975133798,0.44250704934976004,0.5,0.8780487804878049,0.1724137931034483,0.8066172048100577,0.6363636363636362,0.41999999999999993,0.8348229312996123,0.992063492063492,0.8616541669070521,0.3562071871080222,0.9705908572705962,0.8486050345900645,0.9980158730158729,0.9960356788899901,0.6739130434782609,0.4733009708737864,0.0,0.26126126126126126,0.42020195112181613,0.1476765227215976,0.32515967604014545,0.405627401539716,0.8359788359788359,0.8582995951417004,0.7015503875968992,0.5673076923076923,0.9536396191974881,0.22968197879858657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0
229,0.5116279069767415,0.9999504925986002,0.6444425975133798,0.44250704934976004,0.5,0.8780487804878049,0.1724137931034483,0.8066172048100577,0.6363636363636362,0.41999999999999993,0.8348229312996123,0.992063492063492,0.8616541669070521,0.3562071871080222,0.9705908572705962,0.8486050345900645,0.9980158730158729,0.9960356788899901,0.6739130434782609,0.4733009708737864,0.0,0.26126126126126126,0.42020195112181613,0.1476765227215976,0.32515967604014545,0.405627401539716,0.8359788359788359,0.8582995951417004,0.7015503875968992,0.5673076923076923,0.9536396191974881,0.22968197879858657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0
230,0.5116279069767415,0.4999257388979572,0.5374933317397155,0.44250704934976004,0.5,0.7804878048780488,0.28735632183908044,0.83589096967247,0.6363636363636362,0.41999999999999993,0.8577324921150725,0.9722222222222222,0.5283208335737188,0.3562071871080222,0.9091793551906112,0.7016574708973762,0.994047619047619,0.9920713577799801,0.8869565217391303,0.5752427184466019,0.23320278092928465,0.22522522522522537,0.16138291139054084,0.1266895399083977,0.26240310004001804,0.5248305084233218,0.8783068783068784,0.8987854251012146,0.6317829457364341,0.5836538461538462,0.9536396191974881,0.264982332155477,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1
231,0.5116279069767415,0.9999504925986002,0.5374933317397155,0.44250704934976004,0.5,0.7804878048780488,0.28735632183908044,0.83589096967247,0.6363636363636362,0.41999999999999993,0.8577324921150725,0.9722222222222222,0.5283208335737188,0.3562071871080222,0.9091793551906112,0.7016574708973762,0.994047619047619,0.9920713577799801,0.8869565217391303,0.5752427184466019,0.23320278092928465,0.22522522522522537,0.16138291139054084,0.1266895399083977,0.26240310004001804,0.5248305084233218,0.8783068783068784,0.8987854251012146,0.6317829457364341,0.5836538461538462,0.9536396191974881,0.264982332155477,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1
232,0.5116279069767415,0.7551859002920764,0.40659800924006667,0.0,0.31546487678572865,0.951219512195122,0.12643678160919541,0.8066172048100577,0.0,0.41000000000000003,0.8387858697216418,0.9623015873015872,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.1826086956521739,0.3762135922330097,0.0,0.12612612612612617,0.18219929952436825,0.1673907627396815,0.22637916453670937,0.10667505943481397,0.798941798941799,0.8137651821862348,0.5930232558139535,0.7589742307692308,0.9635362680155106,0.6148409893992932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1
233,0.5116279069767415,0.9999504925986002,0.40659800924006667,0.0,0.31546487678572865,0.951219512195122,0.12643678160919541,0.8066172048100577,0.0,0.41000000000000003,0.8387858697216418,0.9623015873015872,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.1826086956521739,0.3762135922330097,0.0,0.12612612612612617,0.18219929952436825,0.1673907627396815,0.22637916453670937,0.10667505943481397,0.798941798941799,0.8137651821862348,0.5930232558139535,0.7589742307692308,0.9635362680155106,0.6148409893992932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1
234,0.5116279069767415,0.755359176196805,0.40659800924006667,0.44250704934976004,0.5,0.8902439024390244,0.08045977011494253,0.7870317428941548,0.0,0.41000000000000003,0.8617972993524194,0.9662698412698412,0.5283208335737188,0.3562071871080222,0.8536769621941473,1.0,0.9895833333333333,0.9995044598612487,0.36086956521739133,0.2985436893203884,0.258938218387936,0.04504504504504503,0.16138291139054084,0.20355971193933414,0.3528609527758697,0.18811255257639295,0.8359788359788359,0.8582995951417004,0.6666666666666666,0.7782692307692308,0.9536396191974881,0.392226148409894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1
