Id,SalePrice
144,481104.4
201,580581.5
362,671099.94
367,654180.1
466,1102885.5
524,764962.9
613,838114.6
616,852030.4
646,948346.06
650,782969.06
729,887847.56
781,885395.6
806,870742.6
824,1064438.9
828,1039450.5
882,987428.25
888,853571
890,992402.7
893,918414.3
938,743987.5
940,1161104.1
969,1001260.2
971,971994.94
999,1119759
1001,1029761.75
1033,1206586.4
1034,1124504.5
1046,1175335.8
1047,1168865
1058,1157457.2
1059,1118515.9
1060,1085451.9
1061,1114958.5
1063,1040025.7
1100,1290548.4
1102,912736
1103,1078663
1111,1239425.1
1116,1355352.8
1129,1092649
1135,1234790.2
1136,1328104.9
1157,1187209.8
1175,1181164.8
1176,1243502.1
1181,1081056.2
1185,1103361.2
1186,1184717.6
1202,1078663
1216,1417679.2
1219,1307341.9
1220,1271629.6
1222,1322488.6
1223,1421517.6
1228,1321534.6
1229,1398500.6
1237,1347769.9
1246,1304570.2
1247,1183693.5
1248,1321591.8
1250,1306304.5
1251,1295326.5
1254,1227328.5
1255,1363833.9
1257,1223900.5
1258,1155433.8
1262,1232191
1272,1373924.9
1273,1256491.8
1286,1326362.9
1295,1435289.8
1297,1361028.9
1311,1480590.5
1327,1379548.5
1336,1529732.8
1343,1530395.2
2223,1253310.8
2224,1187386.5
2254,1250103.5
2255,1239500.9
2260,1243468.9
2275,1407262.5
2298,1106000.9
2299,1211522.6
2302,1299541
2324,1222554.1
2331,1235179.8
2359,1281280.8
2360,1385475.9
2361,1302614.6
2374,1311939.4
2380,1522071.1
2383,1383102.8
2397,1636517
2398,1567829.8
2402,1508250.4
2418,1544270
2426,1578240.6
2429,1514341.5
2432,1251607.2
2433,1517173.2
2434,1477379
2440,1497689.6
2463,1668482.6
2468,1699092.1
2469,1573089.1
2472,1755323.5
2473,1848501.2
2474,1960494
2479,1707438.2
2482,1598286
2490,1492180.1
2494,1592016.9
2497,1756410.9
2501,1561447.1
2521,1691419.9
2524,1726798.1
2539,1739074.4
2541,2072051.6
2556,1913917
2557,1929628.5
2569,1914702.1
2576,1825445.6
2578,2214025.2
2625,2112075.2
2997,611232.94
3013,694931.06
3015,617187.6
3121,661374.6
3204,718061
3206,720231.5
3216,769738.3
3276,560780.9
3289,737037.25
3327,788384.7
3328,828128.44
3335,792252.6
3336,813268.94
3338,963143.25
3341,824040.44
3405,901201.5
12952,364968.22
12975,350343.4
12979,381408.12
12991,384899.12
12995,391576.94
12997,365994.88
12998,335772.4
13013,396116.6
13014,419427.53
13015,385712.62
13016,382983.66
13062,401715.28
13066,352290.94
13070,435457.7
13072,363170.78
13076,469021.34
13077,495970.28
13078,487198.78
13079,460655.28
13082,434808.34
13083,476403.88
13084,416433.62
13091,449464.7
13092,452261.34
13094,441934.34
13099,434808.34
13100,417632.38
13146,481379.25
13148,448078.25
13149,413321.44
13150,411016.53
13153,405724.78
13211,422138.38
13217,454255.34
13221,416433.62
13227,454700.06
13232,394653.97
13275,481944.06
13340,471807.22
13346,517259.22
13357,459385.06
13358,547646.7
13359,532830.44
13360,593093.56
13366,632783.75
13414,415168.12
13528,553338.75
13530,547646.7
13542,622544.7
13545,640312.7
13552,550238.06
13587,522570.7
13588,557529.06
13677,530137.8
14470,881430.1
14471,916554.44
14474,848171.75
