
ID,PredictedPrice,ActualPrice,Difference,PercentDiff
1,275594.5383,100000,175594.53830000001,175.5945383
2,267213.0569,100000,167213.05690000003,167.21305690000003
4,622715.8688,60000,562715.8688,937.8597813333334
5,275594.5383,100000,175594.53830000001,175.5945383
6,382827.726,110000,272827.726,248.0252054545455
7,276427.3831,133999,142428.38309999998,106.29063134799512
8,277139.1069,135000,142139.1069,105.28822733333334
9,227744.9658,142000,85744.9658,60.38377873239437
10,267213.0569,100000,167213.05690000003,167.21305690000003
11,267090.592,119000,148090.592,124.44587563025212
12,270580.9024,150000,120580.90240000002,80.38726826666668
13,239995.0892,125000,114995.08919999999,91.99607135999999
24,480001.9508,180000,300001.9508,166.66775044444444
25,270580.9024,150000,120580.90240000002,80.38726826666668
29,313365.7907,250000,63365.79070000001,25.346316280000003
31,362746.3895,245000,117746.38949999999,48.05975081632653
32,575502.7171,240000,335502.7171,139.79279879166666
34,313365.7907,250000,63365.79070000001,25.346316280000003
43,496735.8775,345800,150935.8775,43.64831622325043
44,637533.5005,338000,299533.50049999997,88.61937884615384
45,318948.2515,310000,8948.251500000013,2.886532741935488
46,322310.924,328000,5689.076000000001,1.7344743902439026
53,510277.5178,350000,160277.51779999997,45.793576514285704
54,709918.8338,390000,319918.8338,82.03047020512821
62,510277.5178,350000,160277.51779999997,45.793576514285704
63,863448.1443,408500,454948.14430000004,111.37041476132192
64,684420.5412,445000,239420.54119999998,53.80236880898875
65,537495.969,450000,87495.96900000004,19.443548666666675
88,651079.1703,498000,153079.1703,30.738789216867467
89,476900.2791,475000,1900.2790999999852,0.4000587578947337
90,550902.5414,475000,75902.54139999999,15.979482399999997
92,723989.6071,460000,263989.6071,57.389045021739136
93,537495.969,450000,87495.96900000004,19.443548666666675
94,430935.1385,495000,64064.8615,12.942396262626263
95,443799.4199,500000,56200.58010000002,11.240116020000004
120,778656.5982,485000,293656.5982,60.54775220618557
121,386292.3021,460000,73707.69790000003,16.02341258695653
