363,NA,NINE,burwood,3125,20141004,WkEnd,SDay,WrkngDy,sold,AptFlat,3,2,1,55,39,43,Y,N,N,N,108.5,116.5,302,1993,2,0,137500,0,1993,0,8.7,26.3,0.2,16.9,1,0.8,1.7,1.14,925000,1230000,0,NA,966667,1340000,1500000,"675000
",burwood_20141004
364,ONE,NA,burwood,3125,20140816,WkEnd,SDay,WrkngDy,sold,AptFlat,3,1,2,54,35,47,N,N,Y,N,108.5,116.5,1045,1976,4,2,132500,475,1993,2017,5.4,11.7,0,16.4,0.9,0.6,0.9,2.16,700000,1390000,18.9,NrlyLvl,812333,840000,839000,"658000
",burwood_20140816
367,ONE,NA,burwood,3125,20140412,WkEnd,SDay,WrkngDy,sold,AptFlat,2,1,1,41,64,76,N,N,Y,N,108.5,116.5,852,1975,3,0,650000,0,2014,0,15.1,22.3,0.4,17.1,0.9,0.4,2.3,1.47,660000,865000,20.5,NrlyLvl,713167,653000,670000,"650000
",burwood_20140412
368,ONE,ONE,burwood,3125,20140410,WkDay,ThDay,WrkngDy,sold,AptFlat,3,1,1,64,30,50,Y,N,Y,Y,108.5,116.5,363,2008,1,0,0,0,0,0,16.7,19,18.2,18.5,1.5,0.7,1.2,1.39,765000,1010000,0,NA,830000,901000,1160000,"681000
",burwood_20140410
369,NA,FOUR,burwood,3125,20140322,WkEnd,SDay,WrkngDy,sold,Hse,3,1,1,48,41,66,Y,N,Y,N,108.5,116.5,603,1950,4,0,140000,0,1989,0,13.4,18.1,1.8,18.3,0.6,0.2,1.2,1.14,1080000,1430000,15.7,NrlyLvl,1138333,901000,1240000,"665000
",burwood_20140322
370,NA,THREE,burwood,3125,20140222,WkEnd,SDay,WrkngDy,sold,Hse,3,1,1,42,43,65,Y,N,Y,N,108.5,116.5,595,1960,2,0,700000,0,2014,0,14.1,19.3,0.6,17.1,0.6,0.3,1.7,2.14,1180000,1580000,19.7,GntlyInclnd,1500333,1680000,1600000,"700000
",burwood_20140222
435,NA,TWO,burwood,3125,20171209,WkEnd,SDay,WrkngDy,sold,SmiDtchd,2,1,1,64,30,50,Y,N,N,N,108.5,116.5,1183,1978,2,0,31500,0,1978,0,12.7,23,0,20.2,1.6,0.8,1.3,1.16,845000,1110000,0,NA,637667,0,0,"711500
",burwood_20171209
439,TWO,THREE,burwood,3125,20160917,WkEnd,SDay,WrkngDy,sold,TwnHse,3,1,2,43,44,68,N,N,Y,N,108.5,116.5,231,1998,2,0,225000,0,1998,0,11.1,19.8,0,17.7,0.5,0.2,1.8,1.35,690000,910000,0,GntlyInclnd,769000,653000,723000,"745000
",burwood_20160917
442,ONE,NINE,burwood,3125,20150822,WkEnd,SDay,WrkngDy,sold,AptFlat,2,1,1,31,62,79,Y,N,N,N,108.5,116.5,286,1950,4,3,324100,420,2006,2015,11.8,18.8,0,18.1,1.2,1.2,4.7,1.97,690000,910000,0,GntlyInclnd,594667,541500,720000,"722000
",burwood_20150822
454,ONE,NA,burwood,3125,20170320,WkDay,MDay,WrkngDy,sold,AptFlat,2,1,1,41,64,76,N,N,N,N,108.5,116.5,852,1975,3,0,650000,0,2014,0,19.3,28,0,17.1,0.9,0.4,2.3,1.47,660000,865000,20.5,NrlyLvl,713167,653000,670000,"740000
",burwood_20170320
459,TWO,EIGHT,burwood,3125,20150218,WkDay,WDay,WrkngDy,sold,HseTwnHse,2,2,1,65,23,42,Y,N,Y,Y,108.5,116.5,808,2014,1,0,0,0,0,0,17.7,21.2,0,16,0.5,0.2,0.6,1.29,410000,985000,0,GntlyInclnd,725667,420000,653000,"748000
",burwood_20150218
461,NA,TWO,burwood,3125,20141213,WkEnd,SDay,WrkngDy,sold,TwnHse,3,2,2,44,65,62,N,N,Y,N,108.5,116.5,228,2000,3,0,390000,0,2002,0,14.4,30.7,0,18.2,1,0.069,1,1.62,925000,1230000,0,NA,884000,901000,891000,"725000
",burwood_20141213
462,TWO,SIX,burwood,3125,20141108,WkEnd,SDay,WrkngDy,sold,AptHse,3,2,2,57,33,61,Y,N,Y,Y,108.5,116.5,370,2003,2,0,450000,0,2003,0,18,34.9,0,18.2,2.1,0.2,1.6,2.91,800000,1060000,0,NrlyLvl,990333,900890,882000,"726000
",burwood_20141108
464,NA,FOUR,burwood,3125,20140822,WkDay,FDay,WrkngDy,sold,Hse,3,2,2,69,26,42,N,N,Y,Y,108.5,116.5,300,1996,5,0,525000,0,2009,0,7,20.2,0,19.5,2.6,0.4,0.8,2.11,1030000,1360000,0,NrlyLvl,933333,1190000,1230000,"732000
",burwood_20140822
465,NA,TWO,burwood,3125,20140517,WkEnd,SDay,WrkngDy,sold,Hse,2,1,0,52,44,58,N,N,N,N,108.5,116.5,582,1955,1,0,0,0,0,0,16.5,20.3,0,16.5,1.9,0.4,1.1,1.62,975000,1290000,16.8,NrlyLvl,1208333,1270000,1340000,"720000
",burwood_20140517
466,NA,THREE,burwood,3125,20140222,WkEnd,SDay,WrkngDy,sold,Hse,3,1,1,42,43,65,Y,N,Y,N,108.5,116.5,595,1960,2,0,700000,0,2014,0,14.1,19.3,0.6,17.1,0.6,0.3,1.7,2.14,1180000,1580000,19.7,GntlyInclnd,1500333,1680000,1600000,"700000
",burwood_20140222
522,THREE,FOUR,burwood,3125,20160710,WkEnd,SDay,WrkngDy,sold,TwnHse,3,2,2,44,65,62,N,N,Y,Y,108.5,116.5,778,2009,2,1,545000,520,2009,2011,6.5,14.2,0,18.8,1,0.3,0.4,1.72,710000,1320000,0,ModInclnd,886667,900890,795000,"790000
",burwood_20160710
524,FOUR,FOUR,burwood,3125,20160121,WkDay,ThDay,WrkngDy,sold,TwnHse,3,2,2,44,65,62,N,N,Y,Y,108.5,116.5,778,2009,2,2,572000,530,2009,2014,19,26.7,0.8,18.8,1,0.3,0.4,1.72,725000,955000,0,ModInclnd,886667,900890,795000,"752500
",burwood_20160121
526,THREE,ONE,burwood,3125,20150628,WkEnd,SDay,WrkngDy,sold,TwnHse,3,2,2,66,17,46,N,N,Y,Y,108.5,116.5,698,2013,2,0,755000,0,2014,0,9.6,14.5,0,16.6,1.1,0.6,1.2,2.21,690000,910000,15.2,GntlyInclnd,877667,541500,1050000,"780000
",burwood_20150628
527,NA,ONE,burwood,3125,20150328,WkEnd,SDay,WrkngDy,sold,TwnHse,4,2,2,66,48,68,Y,N,N,N,108.5,116.5,227,2015,2,0,760000,0,2010,0,12.7,19.1,0,19.4,1.5,0.3,1.7,2.44,880000,1170000,0,NA,985667,1170000,985000,"788000
",burwood_20150328
528,TWO,FIVE,burwood,3125,20150221,WkEnd,SDay,WrkngDy,sold,Hse,4,2,2,44,65,62,Y,N,Y,Y,108.5,116.5,591,1980,2,1,74000,400,1986,2010,18.1,36.1,0,18.7,0.8,1,1,1.79,705000,1320000,0,NrlyLvl,1253333,900890,795000,"785000
",burwood_20150221
529,TWO,SEVEN,burwood,3125,20141206,WkEnd,SDay,WrkngDy,sold,AptFlat,3,2,2,44,65,62,Y,N,N,Y,108.5,116.5,438,1990,3,0,215000,0,1997,0,15.4,22.7,2.6,18.6,0.7,0.9,0.9,1.7,845000,1110000,0,GntlyInclnd,886667,900890,653000,"785000
",burwood_20141206
530,NA,NA,burwood,3125,20140812,WkDay,TuDay,WrkngDy,sold,Hse,3,1,0,53,30,64,N,N,N,N,108.5,116.5,590,1960,2,2,765000,350,2014,2009,6.2,11.9,0.6,18.3,1.6,0.1,2.2,2.09,1120000,1510000,15.3,NrlyLvl,1248667,1200000,780000,"765000
",burwood_20140812
532,NA,ONE,burwood,3125,20140531,WkEnd,SDay,WrkngDy,sold,Hse,3,2,2,69,26,42,Y,N,N,Y,108.5,116.5,312,1996,6,0,470000,0,2006,0,7.5,18.9,0,19.3,2,0.1,0.6,2.24,1080000,1430000,0,GntlyInclnd,1268167,1410000,1190000,"800000
",burwood_20140531
533,NA,TWO,burwood,3125,20140503,WkEnd,SDay,WrkngDy,sold,Hse,4,2,2,53,30,64,N,N,Y,N,108.5,116.5,590,1960,2,0,130000,0,1992,0,9.8,16,1.4,18.3,1.7,0.2,2.2,2.09,1240000,1660000,15.3,NrlyLvl,1273333,891000,1300000,"755000
",burwood_20140503
539,TWO,FOUR,burwood,3125,20170217,WkDay,FDay,WrkngDy,sold,TwnHse,2,2,1,42,45,66,N,N,Y,Y,108.5,116.5,739,1950,1,1,0,520,0,2017,13.7,25.5,0,16.8,0.8,0.2,1.4,1.56,630000,825000,16.4,ModInclnd,759333,541500,604000,"751000
",burwood_20170217
541,NA,THREE,burwood,3125,20160924,WkEnd,SDay,WrkngDy,sold,TwnHse,3,2,1,52,19,38,Y,N,Y,Y,108.5,116.5,227,2005,3,1,680000,600,2012,2018,10,20.1,0,18.7,3.3,1,2.4,0.8,765000,1010000,0,NA,966667,1240000,1620000,"795000
",burwood_20160924
546,THREE,SEVEN,burwood,3125,20150314,WkEnd,SDay,WrkngDy,sold,TwnHse,3,2,2,52,39,58,N,N,Y,Y,108.5,116.5,250,2010,2,1,741000,530,2013,2011,9.4,30.1,0,19.1,0.2,0.2,0.3,2,800000,1060000,18.3,ModInclnd,761333,900890,795000,"775000
",burwood_20150314
547,THREE,SIX,burwood,3125,20150306,WkDay,FDay,WrkngDy,sold,TwnHse,3,2,2,69,26,42,N,N,Y,Y,108.5,116.5,1084,2015,1,0,0,0,0,0,14.1,21.1,0.2,19.3,0.3,0.3,0.3,2.18,800000,1060000,15.5,NrlyLvl,907333,1200000,840000,"765000
",burwood_20150306
549,NA,FIVE,burwood,3125,20141122,WkEnd,SDay,WrkngDy,sold,Hse,3,1,2,56,35,52,N,N,Y,N,108.5,116.5,568,1955,1,1,0,440,0,2015,12.9,31,0,25.7,1.1,1.1,0.7,1.73,880000,1170000,31.7,GntlyInclnd,1062667,891000,1320000,"770000
",burwood_20141122
550,NA,THREE,burwood,3125,20141031,WkDay,FDay,WrkngDy,sold,Hse,2,1,1,55,39,43,N,N,Y,N,108.5,116.5,703,1976,2,0,36500,0,1976,0,10.4,32.3,0,17.2,1.5,1.1,2,1.22,1120000,1510000,17.9,NrlyLvl,1324167,1340000,1500000,"770000
",burwood_20141031
551,NA,EIGHT,burwood,3125,20141025,WkEnd,SDay,WrkngDy,sold,Hse,3,1,4,64,30,50,N,N,Y,N,108.5,116.5,616,1980,1,0,0,0,0,0,14.1,18.2,0,20.3,1.7,0.8,1.3,1.26,1030000,1360000,19.0,GntlyInclnd,1230167,901000,1160000,"800000
",burwood_20141025
552,NA,NINE,burwood,3125,20140906,WkEnd,SDay,WrkngDy,sold,Hse,3,1,4,64,30,50,Y,N,Y,Y,108.5,116.5,637,1960,2,0,148500,0,1991,0,6,18.1,0,20.6,1.4,0.7,0.8,1.39,1030000,1360000,16.7,NrlyLvl,1138333,1160000,1000000,"756000
",burwood_20140906
553,ONE,NA,burwood,3125,20140816,WkEnd,SDay,WrkngDy,sold,TwnHse,3,2,2,52,44,58,Y,N,Y,N,108.5,116.5,333,2004,3,0,530000,0,2007,0,5.4,11.7,0,16.7,0.4,0.4,1.6,1.56,880000,1170000,0,GntlyInclnd,990333,840000,839000,"800000
",burwood_20140816
