Idss,Id
555001.2,1
669620.94,2
1122990.2,4
695163.0,6
613326.25,7
609068.94,9
610568.25,11
610228.75,12
948584.4,13
495703.34,24
541818.06,29
542370.44,31
704772.94,43
572795.5,45
550360.4,46
704756.2,53
1123525.5,54
1283578.6,63
685893.0,64
508306.1,65
729844.06,88
511197.84,89
527720.5,90
503707.34,94
558790.4,95
1147668.2,120
552429.1,121
485245.16,128
633107.8,129
519924.34,130
1241754.0,131
865095.75,133
511116.34,134
471772.34,135
521594.38,136
1259971.2,137
595096.3,138
1081716.2,139
489407.28,140
1122384.4,141
514342.5,142
508306.8,180
811386.06,187
563023.75,188
1083954.5,189
503188.66,190
835542.9,191
639135.94,192
469890.12,196
668450.56,197
486320.9,198
569708.94,199
480908.56,200
743227.1,202
581857.1,203
656623.7,204
483154.28,205
526392.06,206
601231.8,207
656537.5,251
1105292.1,252
490699.56,255
1157072.6,257
590168.9,259
567130.44,261
711812.56,263
766554.56,264
545195.3,265
800107.9,266
555381.6,267
534234.6,269
581769.06,271
740881.0,272
1158299.9,273
709087.6,274
1179976.9,275
662918.06,276
655767.2,278
715346.5,279
708439.44,335
734021.06,336
589614.1,340
645970.9,341
623395.94,342
1242717.1,343
661789.06,344
663738.9,345
645453.25,346
1083170.9,348
747769.6,352
507846.2,353
544462.25,354
761160.94,355
660713.7,356
771123.2,358
556858.94,359
485044.97,360
751979.3,361
868145.25,363
730663.1,364
656501.94,365
900559.4,366
702097.9,368
931059.9,369
1279631.9,370
708274.06,432
1275622.6,433
864356.5,435
738251.1,436
726668.5,438
604935.0,439
868701.9,440
611394.06,441
574881.56,442
1122407.0,443
1262808.9,444
732923.9,445
533178.2,449
717055.8,450
486538.16,451
482622.28,452
655634.3,454
1058032.0,456
750744.9,457
1132162.6,458
492326.88,459
772324.4,460
785533.56,461
754535.5,462
1072366.6,463
971427.0,464
882574.5,465
1102052.1,467
1379024.8,514
815323.75,519
1035609.4,520
1081602.9,521
764893.4,522
1292086.2,523
763974.25,525
759318.7,526
938201.06,527
742429.5,528
695937.44,529
1084813.6,530
734709.3,531
1044669.56,532
1074937.1,533
656456.9,538
492765.66,539
876217.75,540
967643.6,541
843474.2,542
539823.3,543
804755.8,545
758434.4,546
718229.8,547
1012933.7,548
765583.1,549
1036083.8,550
871133.8,551
919563.8,552
776692.8,553
877373.0,554
718705.25,555
988157.4,556
720407.9,605
744801.8,606
773289.1,608
753380.1,611
1025688.9,612
734346.2,614
895152.25,615
1392982.1,617
1032339.1,618
1063568.4,624
700156.8,625
1069344.8,626
847794.0,627
690004.2,628
691517.56,629
976181.94,630
1085863.9,631
805914.1,632
848853.8,633
709169.8,634
1113392.2,635
1061577.8,636
832648.9,637
822668.25,638
749507.94,639
925529.5,640
985664.4,641
1018752.5,642
1054019.8,643
988645.44,644
976468.1,645
1036570.3,647
759082.06,648
1152847.0,649
908818.0,651
879963.5,652
1088459.2,653
1259561.8,654
1254400.1,655
1136029.8,656
1344272.9,657
829240.7,698
789032.7,699
758016.75,700
921782.7,701
875976.0,702
1140971.5,703
1299957.5,706
878501.5,707
1122964.8,708
1018367.25,709
1475547.1,710
1077408.8,711
768089.1,712
1010398.56,713
940581.06,714
1122412.5,715
1151850.4,716
1267624.4,717
1429101.8,718
957291.5,722
1383475.8,723
493156.94,725
700081.9,726
941942.8,727
919834.3,732
1207060.1,733
1090657.5,734
1107390.0,735
1024491.5,736
1083885.0,737
991350.75,738
845983.94,739
1165666.2,740
1171854.4,741
1336567.0,744
1404646.4,745
837303.9,778
1204383.1,779
695471.56,780
463097.0,782
969510.94,783
1007079.1,784
1306213.1,789
736424.8,790
597383.7,791
1122998.5,792
942003.94,793
755547.2,795
1049379.0,796
986450.0,797
1139545.6,798
1013565.06,805
1123515.4,807
739682.06,808
646583.56,809
1099600.8,810
1233473.4,811
533136.3,812
883684.4,814
1138669.4,815
999949.2,816
1015250.1,817
834929.75,818
1033259.06,819
1107475.8,820
968184.5,821
1104823.4,822
1122343.4,823
1050380.4,825
1462051.1,826
1217434.1,827
1078957.5,829
1213515.1,830
1188135.0,831
1145770.0,832
1366307.6,833
1193580.0,834
956075.56,861
951189.8,862
1029779.06,867
803136.1,868
738036.8,869
943473.75,870
1363445.8,871
1183128.1,872
1385260.4,873
1165081.5,874
1236942.8,875
1110118.6,876
1195281.1,877
1040261.2,878
1377818.0,880
1118221.8,881
1123442.5,884
870069.3,885
1135921.6,886
908991.9,887
879222.4,889
1268112.9,891
1171990.9,892
1303580.4,894
1027150.06,896
1090366.0,897
1195763.9,898
1222968.5,899
1177884.1,900
1179483.2,901
1006173.9,902
975600.2,918
1056905.9,919
1120254.8,920
914929.0,921
654164.9,922
949582.8,923
805081.44,924
845370.7,925
916268.8,926
672346.44,927
1022106.8,928
1294649.2,929
1179937.8,930
1061956.4,931
1149962.6,932
1220564.0,933
1129458.9,934
1220299.5,935
939390.3,936
1174780.0,937
1012053.2,939
1237786.1,941
1114216.6,942
1241607.5,943
1231363.2,944
1395605.4,945
1019760.3,946
1237094.6,947
896697.44,953
1093958.2,954
1059921.2,955
1062024.1,956
788625.2,957
806396.7,958
778841.8,959
1122945.5,960
891357.56,961
1077806.6,962
1127011.8,963
1098063.9,964
947440.5,965
731568.1,966
1163809.8,967
1144326.2,968
1198132.9,970
1225572.2,972
1413036.0,973
1204517.5,997
1473124.9,998
1043561.75,1000
1385143.9,1002
1079293.2,1003
943060.2,1005
1031504.7,1006
1519404.4,1007
1249738.8,1008
1122970.8,1009
1171948.4,1011
1079419.1,1012
945676.9,1013
1152544.8,1014
1115634.9,1015
1140587.2,1016
1118616.0,1017
1007409.7,1018
1316854.5,1019
1046755.0,1020
1139542.8,1021
1059748.9,1022
1023684.0,1023
1041274.9,1024
1257690.5,1025
1235065.5,1026
785169.75,1027
1009812.2,1028
1193538.0,1029
1101116.0,1030
1070564.1,1031
989298.9,1032
1503495.4,1035
1152410.4,1038
1082280.2,1039
1194941.4,1040
1268064.2,1041
1207229.1,1042
871083.0,1043
866515.8,1044
1025151.5,1045
913407.9,1048
869058.2,1049
933316.4,1050
961326.94,1051
815109.56,1052
1142360.5,1053
917728.25,1054
1278754.9,1055
1062693.5,1056
649590.3,1057
1056455.1,1062
1065755.4,1064
1534133.6,1065
1122407.4,1066
1518834.8,1067
1223854.2,1068
1158300.9,1069
1431706.4,1070
1705982.4,1071
1259347.9,1072
1476943.0,1073
1492255.1,1074
1426394.1,1075
1313793.1,1076
1283661.4,1077
1257784.1,1078
1306381.0,1079
1328708.9,1080
1012926.9,1098
1017656.0,1099
1000583.3,1101
1067754.1,1104
1123543.6,1107
1023544.06,1109
1067603.5,1110
1269138.5,1112
1189399.2,1113
1181481.6,1114
1178517.9,1115
1304723.1,1117
1139839.5,1118
1439001.5,1119
1129132.8,1121
1127223.1,1123
1140293.8,1124
1191714.5,1125
1292366.8,1126
1094976.5,1127
1189570.9,1128
1498773.0,1130
1347464.8,1131
1404602.8,1132
1111292.4,1133
1299271.2,1134
1289100.6,1137
1356205.1,1138
1233232.9,1139
1356054.9,1140
1528714.5,1141
1210621.9,1146
1519791.4,1147
1140806.1,1149
1317956.0,1150
1211333.6,1151
941682.25,1152
799518.7,1153
1099838.2,1154
982843.75,1155
988816.8,1156
1060101.0,1158
1282907.5,1159
1097529.1,1160
1099998.9,1161
1324760.4,1162
1462073.2,1163
1115630.2,1164
1182080.8,1165
1029618.06,1166
1215180.6,1167
1280707.0,1168
1293061.2,1169
1208585.0,1170
1267543.8,1171
1180104.2,1172
1262948.8,1173
1320965.8,1174
1182490.4,1177
1466587.8,1179
1279586.1,1180
1436984.1,1182
1474645.2,1183
1519920.9,1184
1657285.5,1187
1394526.9,1188
1262934.2,1200
1100074.4,1201
1343587.1,1205
