SalePrice,id,lasso_preds,xgb_preds
491911.1086214641,95,487106.7176735202,503121.34
407781.8054289778,121,402543.0367735398,420005.6
464257.4884015412,130,453212.61735934456,490028.8
486238.56683419296,135,490262.9302988471,476848.38
498891.91342703963,138,465737.0638243424,576253.2
523558.1169105287,142,515329.49737218383,542758.2
667950.4624649493,202,696584.8570927848,601136.9
782735.8400618247,252,757570.463481178,841455.0
667219.0686111321,274,670009.2721230459,660708.56
561381.2359993749,278,545878.0157133928,597555.4
647770.2317322576,279,636116.9605103681,674961.2
682081.2658063739,336,653934.8216876771,747756.25
596259.8041994805,359,570644.3854635435,656029.06
688146.4711570954,361,686082.7936172793,692961.7
733510.5597439052,363,712900.2192770074,781601.3
705159.72549925,364,653573.4471417858,825527.7
621025.1583088278,368,600936.8556197541,667897.8
845380.0210313255,369,873342.150580465,780135.0
969547.2131630848,370,1036984.456304407,812193.6
771582.7760875722,435,775117.3810179604,763335.3
779495.321731696,439,806347.15604528,716841.0
620121.2887207062,442,617299.832101009,626704.7
696512.5108689467,454,685772.604812781,721572.25
618501.7274666973,459,627051.9544167105,598551.2
794044.2755587025,461,764426.6213338608,863152.1
777039.1744239707,462,761696.6554271011,812838.4
811939.021143663,464,806344.9855623757,824991.75
813208.51557955,465,809471.4954707858,821928.2
876901.544654927,522,827723.0102213244,991651.44
762460.5824839297,526,748603.466048471,794793.8
863701.0360340877,527,858362.9979058396,876156.4
880706.9426767526,528,872360.989538218,900180.75
723768.1254952626,529,689606.3846360894,803478.8
862813.1541621365,530,877100.8675530521,829475.1
933594.456370288,532,981736.8349932687,821262.2
1005832.8067395238,533,1038925.4828421769,928616.5
736402.8740977487,539,749089.0835324981,706801.7
834685.9167676282,541,836350.7962751831,830801.2
731424.1013582074,546,728233.0465831535,738869.9
789892.0563388425,547,741690.5715554892,902362.2
755393.8645326917,549,749188.9359395596,769872.0
915463.052771489,550,917456.4593164129,910811.75
886499.7363680681,551,902315.9849900973,849595.1
869176.245793719,552,884259.1234553128,833982.8
820820.1503793541,553,843648.5183990775,767553.94
717784.0436555478,605,678862.629329354,808600.6
853061.5153951884,606,834353.2809216977,896714.0
861940.7276579852,608,851320.9502256932,886720.1
874050.8315523794,611,811685.9647176849,1019568.8
865505.5836745413,612,868316.0793564877,858947.75
767675.349497594,614,742628.3341037058,826118.4
806056.0107080943,615,808128.5644044206,801220.0
1071975.9997444635,617,1089857.6782063765,1030252.0
983001.4017779018,618,1023778.4757541455,887854.9
1040761.6428438488,626,1056516.5433483555,1004000.2
835777.0346677089,627,836270.1164895842,834626.5
991113.2684479936,631,981457.6156399908,1013643.1
824326.6265738355,632,811541.5424269079,854158.44
871847.2032675107,634,887481.1832393011,835367.9
973213.7746569391,636,985321.8209384844,944961.6
965799.9211416157,638,943029.798059451,1018930.2
933081.153351522,640,959710.3753236029,870946.25
870685.815268534,641,873234.4459193344,864739.0
886811.2456779722,642,892487.5161471032,873566.56
912395.9338629455,644,894648.5662327794,953806.44
875445.3472069702,647,879276.2995813861,866506.44
783376.4319795471,648,766489.880506496,822778.4
842283.2362064669,651,862910.2258306671,794153.56
834028.5848352605,652,844355.0319075151,809933.5
841330.7002461309,653,826449.4378516156,876053.56
958602.761268298,654,990569.7482404258,884013.1
897829.5138470063,655,945918.8367457233,785621.06
819751.1767471675,698,807453.6453530965,848445.4
802055.5791476071,701,783647.4568180102,845007.8
876331.4312501895,707,868814.1875002708,893871.6
952283.1718977715,709,956487.8794968165,942472.2
1030897.0229946065,711,1046791.8632065807,993809.06
889935.0256407401,713,870231.2419867716,935910.44
844518.0471771491,714,831477.2995387845,874946.44
1024347.3138567124,716,1037317.7251524463,994083.0
1029513.5212225995,717,1044758.5571037137,993941.75
971304.7687695114,735,1003374.4464564448,896475.44
1001961.3337629113,740,982521.101804159,1047321.8
1037632.3417155854,741,1029826.8274508364,1055845.1
1039507.4160635102,744,1064816.5765193005,980452.6
1171228.5559211164,745,1215968.9638158807,1066834.2
826335.7604766813,783,846451.9122881162,779398.06
886753.9510188027,784,923750.4210982897,800428.8
1000252.9723868913,790,1009591.4784098447,978463.06
877811.4561930975,791,899966.2990258536,826116.8
1040237.8542965944,796,1013112.2918522777,1103530.8
967921.1202457915,797,988181.5110654165,920646.9
948076.4446216193,798,969772.822673742,897451.5
889760.0332202137,808,884768.2617431625,901407.5
914637.4036742548,809,934366.0677489354,868603.8
1064166.5125828977,810,1081244.4376184253,1024318.0
957455.8505302753,814,947590.456114679,980475.06
1119357.3091139954,815,1100898.7898057078,1162427.1
874810.552961722,816,854876.9060167458,921322.3
938134.6571234626,817,925461.3405335181,967705.7
931879.8065727407,818,904377.7593896296,996051.2
892972.8373956021,819,874203.6069937174,936767.7
963569.110948571,820,938301.810283673,1022526.06
922213.4819108304,821,910606.8938011864,949295.44
1103599.5464870464,822,1084956.0931957806,1147100.9
964782.0548284777,825,982341.2836835396,923810.44
1048087.2335524354,826,1077330.244360622,979853.5
982914.2927156646,827,994038.7663795209,956957.1
1022083.0672618148,829,1035181.1228740213,991520.94
1088296.2861227752,830,1123169.3373182502,1006925.75
993834.0018797214,831,1046775.9625067449,870302.75
1121930.745100672,832,1168414.6805009597,1013468.2
1347447.1612245138,833,1380591.0338921628,1270111.4
899276.0698193938,834,919407.2872419911,852303.2
1043723.2705415906,861,1053169.1364879867,1021682.9
928661.5501946643,868,924992.5270638062,937222.56
855494.433075978,869,832775.2168942543,908505.9
1068564.531079643,870,1093834.2854709185,1009601.75
1250172.222698623,871,1244848.7556408902,1262593.6
970444.4367787365,872,951682.8561124807,1014221.4
1021531.6093389707,875,1020003.6383413868,1025096.9
1030896.2179220022,876,1051563.2577457174,982673.06
1060402.4496898132,877,1099120.5977711617,970060.06
1028259.5878231023,878,1039465.3040330033,1002112.9
955335.0540249401,885,979647.5325356289,898605.94
976830.4931899791,887,987829.2313428273,951166.75
912164.0584447841,889,873851.2442068345,1001560.6
913756.6940593306,891,920877.0182990438,897142.56
973255.7051692534,892,976600.5609560764,965451.0
1108592.902661404,894,1101906.5573734345,1124194.4
1081472.3474967782,896,1129445.2285668263,969535.6
952383.2102614536,897,955875.836087791,944233.75
1059273.041515801,898,1083323.5414511445,1003155.1
1129868.4971104437,899,1176821.2905149194,1020311.94
1071961.4216819024,900,1099522.566688432,1007652.0
1040817.0181977942,901,1065589.6242111346,983014.25
