703,Morton Road,NA,SIX,burwood,3125,20140130,WkDay,ThDay,WrkngDy,sold,Hse,3,1,2,72,14,37,N,N,Y,N,108.5,116.5,759,1960,5,2,845600,465,2014,2016,15,28.1,0,16.6,0.7,1.5,2,1.66,0,0,17.9,GntlyInclnd,0,1500000,650000,"845600
"
710,Warrigal Road,NA,FIVE,burwood,3125,20160430,WkEnd,SDay,WrkngDy,sold,Hse,4,2,3,64,15,53,Y,N,N,N,108.5,116.5,650,1947,1,0,0,0,0,0,16.4,24.1,6.2,16.1,1,0.5,0.6,1.19,0,0,15.5,ModInclnd,1290000,2890000,2150000,"900000
"
711,Ian Grove,NA,THREE,burwood,3125,20160409,WkEnd,SDay,WrkngDy,sold,Hse,3,1,2,53,43,59,N,N,N,N,108.5,116.5,686,1998,2,0,385000,0,2006,0,10.4,22.3,0,19.8,2.6,0.2,1.6,1,1010000,1730000,21.8,ModInclnd,1231000,901000,1240000,"875000
"
713,Christina Street,NA,THREE,burwood,3125,20151107,WkEnd,SDay,WrkngDy,sold,Hse,3,1,2,58,36,55,Y,N,Y,N,108.5,116.5,437,1950,3,1,612500,250,2010,2003,11.9,16.8,1.2,18.9,0.1,0.1,1,2.61,851000,1460000,0,GntlyInclnd,1031667,891000,1410000,"870000
"
714,Burn Nar Look Drive,NA,FIVE,burwood,3125,20150912,WkEnd,SDay,WrkngDy,sold,TwnHse,4,2,2,66,48,68,N,N,Y,N,108.5,116.5,238,2011,2,0,768000,0,2010,0,12.2,21.7,0,19.4,1.5,0.3,1.7,2.51,880000,1170000,0,NA,985667,1170000,985000,"878000
"
717,Station Street,NA,FIVE,burwood,3125,20141219,WkDay,FDay,WrkngDy,sold,Hse,3,1,2,31,62,79,Y,N,Y,N,108.5,116.5,725,1980,2,1,861000,410,2014,2015,11.4,19.3,1.6,18.1,1.2,1.2,4.6,2.01,1300000,1740000,0,GntlyInclnd,1304500,1130000,1410000,"861000
"
718,Zodiac Street,NA,SIX,burwood,3125,20141011,WkEnd,SDay,WrkngDy,sold,Hse,4,2,2,72,14,37,Y,N,Y,N,108.5,116.5,664,1970,4,0,857500,0,2014,0,13.7,20,0,17.4,1.4,0.7,1.3,1.92,0,0,19.6,NrlyLvl,1495000,1610000,1520000,"857500
"
722,Hastings Street,ONE,ONE,burwood,3125,20171209,WkEnd,SDay,WrkngDy,sold,AptFlat,3,2,2,57,20,36,Y,N,Y,N,108.5,116.5,0,0,3,0,200000,0,1994,0,12.7,23,0,16.1,0.9,0.6,0.7,1.15,0,0,0,NA,0,765000,1250000,"882000
"
723,Muyan Circuit,NA,FIVE,burwood,3125,20171125,WkEnd,SDay,WrkngDy,sold,TwnHse,3,2,2,66,48,68,N,N,Y,Y,108.5,116.5,331,2012,2,0,750000,0,2012,0,19.3,32.5,0.4,18.6,1.7,1.9,2.5,2.54,0,0,0,ModInclnd,974333,1410000,1730000,"891000
"
724,Ian Grove,NA,SIX,burwood,3125,20171016,WkDay,MDay,WrkngDy,sold,TwnHse,3,2,1,53,43,59,N,N,Y,N,108.5,116.5,205,2010,2,1,630000,500,2009,2014,11.3,28.6,0,20,2.3,0.3,1.5,1,0,0,0,ModInclnd,884000,840000,916000,"868000
"
