1,96425.3212435 ,1,100000,1,1,
2,96425.3212435 ,2,100000,2,2,
4,61152.2818231 ,4,60000,4,4,
5,96425.3212435 ,5,100000,5,5,
6,104568.150876 ,6,110000,6,6,
7,127298.017343 ,7,133999,7,7,
8,128055.120251 ,8,135000,8,8,
9,134105.161258 ,9,142000,9,9,
10,96425.3212435 ,10,100000,10,10,
11,112181.469541 ,11,119000,11,11,
12,141256.753725 ,12,150000,12,12,
13,119536.57133 ,13,125000,13,13,
24,169077.21998 ,24,180000,24,24,
25,141256.753725 ,25,150000,25,25,
29,234177.250034 ,29,250000,29,29,
31,229989.980056 ,31,245000,31,31,
32,225001.492438 ,32,240000,32,32,
34,234177.250034 ,34,250000,34,34,
43,321389.235555 ,43,345800,43,43,
44,314475.198308 ,44,338000,44,44,
45,289120.302884 ,45,310000,45,45,
46,305428.401836 ,46,328000,46,46,
53,325074.522072 ,53,350000,53,53,
54,361442.266502 ,54,390000,54,54,
62,325074.522072 ,62,350000,62,62,
63,378330.406645 ,63,408500,63,63,
64,411607.576133 ,64,445000,64,64,
65,416137.795967 ,65,450000,65,65,
88,460104.52388 ,88,498000,88,88,
89,438968.096534 ,89,475000,89,89,
90,438968.096534 ,90,475000,90,90,
92,425235.476201 ,92,460000,92,92,
93,416137.795967 ,93,450000,93,93,
94,457336.005068 ,94,495000,94,94,
95,461891.152639 ,95,500000,95,95,
120,448381.094094 ,120,485000,120,120,
121,425235.476201 ,121,460000,121,121,
128,478270.296088 ,128,518000,128,128,
129,493869.267836 ,129,535000,129,129,
130,493869.267836 ,130,535000,130,130,
131,501354.474869 ,131,543500,131,131,
133,466536.382981 ,133,505000,133,133,
134,484806.465783 ,134,525500,134,134,
135,489387.840588 ,135,530000,135,135,
136,496426.514468 ,136,538000,136,136,
137,493869.267836 ,137,535000,137,137,
138,484767.745728 ,138,525088,138,138,
139,464203.493465 ,139,502500,139,139,
140,489387.840588 ,140,530000,140,140,
141,471031.98415 ,141,510000,141,141,
142,507563.861995 ,142,550000,142,142,
143,493869.267836 ,143,535000,143,143,
144,461891.152639 ,144,500000,144,144,
180,480088.469258 ,180,520000,180,180,
