Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,086338,2013,01,01,,,
IDCJAC0011,086338,2013,01,02,,,
IDCJAC0011,086338,2013,01,03,,,
IDCJAC0011,086338,2013,01,04,,,
IDCJAC0011,086338,2013,01,05,,,
IDCJAC0011,086338,2013,01,06,,,
IDCJAC0011,086338,2013,01,07,,,
IDCJAC0011,086338,2013,01,08,,,
IDCJAC0011,086338,2013,01,09,,,
IDCJAC0011,086338,2013,01,10,,,
IDCJAC0011,086338,2013,01,11,,,
IDCJAC0011,086338,2013,01,12,,,
IDCJAC0011,086338,2013,01,13,,,
IDCJAC0011,086338,2013,01,14,,,
IDCJAC0011,086338,2013,01,15,,,
IDCJAC0011,086338,2013,01,16,,,
IDCJAC0011,086338,2013,01,17,,,
IDCJAC0011,086338,2013,01,18,,,
IDCJAC0011,086338,2013,01,19,,,
IDCJAC0011,086338,2013,01,20,,,
IDCJAC0011,086338,2013,01,21,,,
IDCJAC0011,086338,2013,01,22,,,
IDCJAC0011,086338,2013,01,23,,,
IDCJAC0011,086338,2013,01,24,,,
IDCJAC0011,086338,2013,01,25,,,
IDCJAC0011,086338,2013,01,26,,,
IDCJAC0011,086338,2013,01,27,,,
IDCJAC0011,086338,2013,01,28,,,
IDCJAC0011,086338,2013,01,29,,,
IDCJAC0011,086338,2013,01,30,,,
IDCJAC0011,086338,2013,01,31,,,
IDCJAC0011,086338,2013,02,01,,,
IDCJAC0011,086338,2013,02,02,,,
IDCJAC0011,086338,2013,02,03,,,
IDCJAC0011,086338,2013,02,04,,,
IDCJAC0011,086338,2013,02,05,,,
IDCJAC0011,086338,2013,02,06,,,
IDCJAC0011,086338,2013,02,07,,,
IDCJAC0011,086338,2013,02,08,,,
IDCJAC0011,086338,2013,02,09,,,
IDCJAC0011,086338,2013,02,10,,,
IDCJAC0011,086338,2013,02,11,,,
IDCJAC0011,086338,2013,02,12,,,
IDCJAC0011,086338,2013,02,13,,,
IDCJAC0011,086338,2013,02,14,,,
IDCJAC0011,086338,2013,02,15,,,
IDCJAC0011,086338,2013,02,16,,,
IDCJAC0011,086338,2013,02,17,,,
IDCJAC0011,086338,2013,02,18,,,
IDCJAC0011,086338,2013,02,19,,,
IDCJAC0011,086338,2013,02,20,,,
IDCJAC0011,086338,2013,02,21,,,
IDCJAC0011,086338,2013,02,22,,,
IDCJAC0011,086338,2013,02,23,,,
IDCJAC0011,086338,2013,02,24,,,
IDCJAC0011,086338,2013,02,25,,,
IDCJAC0011,086338,2013,02,26,,,
IDCJAC0011,086338,2013,02,27,,,
