SalePrice,Id
557349.94,144
545306.9,201
800300.25,362
595143.2,367
1139042.6,466
857787.5,524
980531.7,613
1070899,616
999140.6,646
859750.06,650
1027239.06,729
895553.1,781
1112716.6,806
1098680.5,824
1155185.9,828
1029206.25,882
1001509,888
972521.9,890
1025380.5,893
1000557.25,938
1161531.5,940
1147953.4,969
970668.94,971
1173682.6,999
963447.4,1001
1378844.2,1033
1178017.4,1034
1286462.6,1046
1275496.2,1047
1292031.5,1058
1161505.4,1059
1149556,1060
1034821.7,1061
1161522.2,1063
1292937,1100
997080.8,1102
1155056.9,1103
1266132.1,1111
1597002.8,1116
1186664,1129
1315300.9,1135
1474596.4,1136
1108118.1,1157
1226850,1175
1318572.4,1176
1250083.8,1181
1043621.9,1185
1091348.4,1186
1155056.9,1202
1485238,1216
1302669.9,1219
1341217.2,1220
1501601.9,1222
1435763.1,1223
1321659.1,1228
1360932.2,1229
1584237.4,1237
1350689.4,1246
1332949.1,1247
1291155.9,1248
1445060.1,1250
1390626.2,1251
1358005.5,1254
1569662.9,1255
1331742,1257
1178088.8,1258
1166395.6,1262
1389630.9,1272
1193227.8,1273
1381138.1,1286
1367417.5,1295
1243360,1297
1443635.5,1311
1279911,1327
1491837.1,1336
1430435.5,1343
1173891.5,2223
1128926.5,2224
1274159,2254
1329070.6,2255
1168178.2,2260
1375080.6,2275
1046776.6,2298
1131658,2299
1248190.1,2302
1088893.5,2324
1164732.5,2331
1341764.2,2359
1478971.5,2360
1244374.4,2361
1191191.4,2374
1524013.2,2380
1369936.8,2383
1705315.9,2397
1612079.1,2398
1581582.2,2402
1412977.5,2418
1485312.4,2426
1446018.8,2429
1168639.9,2432
1387450.9,2433
1296039.9,2434
1435174,2440
1547432,2463
1652219.9,2468
1559717,2469
1662908,2472
1699869.4,2473
1747979.8,2474
1716850.4,2479
1571221,2482
1444983.5,2490
1446711.1,2494
1688386.9,2497
1452713.1,2501
1553591.6,2521
1756130.8,2524
1720510.4,2539
2002050.8,2541
2003304.6,2556
1795768.6,2557
1850529.5,2569
1568672.1,2576
2112477.2,2578
1992274.2,2625
596964.25,2997
673408.8,3013
538661.56,3015
638705.56,3121
747802.75,3204
692252.6,3206
866838.2,3216
596637.6,3276
708759.2,3289
889090.56,3327
820442.9,3328
752828.44,3335
833646.94,3336
921279.8,3338
782079.5,3341
972555.6,3405
321825.97,12952
390711.2,12975
306483.5,12979
423513.03,12991
361632.4,12995
364917.97,12997
259930,12998
460612.8,13013
470193.44,13014
368918.84,13015
373878.6,13016
539874.25,13062
361611.44,13066
517202.44,13070
318519.06,13072
486970.16,13076
472111,13077
662156.8,13078
548313.5,13079
550477.75,13082
490805.62,13083
395999.53,13084
528786.06,13091
599079.9,13092
478143.97,13094
550477.75,13099
364571.12,13100
539889.06,13146
458930.12,13148
455094.6,13149
471665.03,13150
457978.66,13153
509743.75,13211
454022.56,13217
395999.53,13221
528212.3,13227
428540.7,13232
623997.1,13275
465879.78,13340
612979.06,13346
470596.12,13357
643782.5,13358
671844.8,13359
702300.6,13360
672086.4,13366
414978.94,13414
537634.1,13528
643782.5,13530
619072.56,13542
569417.06,13545
493872.12,13552
425291.38,13587
551105.75,13588
549231.8,13677
837217.3,14470
871248.75,14471
843981.7,14474
884756.1,14475
799182.94,14493
1021044.5,14494
1011939.06,14496
852557.3,14497
884960.1,14500
988950.8,14501
963375.56,14502
844220.7,14503
840623.44,14504
881176.94,14536
922212.6,14537
1321661.1,14541
839074.44,14542
724241.94,14543
832337,14554
1061980.4,14556
1034002.8,14557
1009565.9,14562
893526.25,14563
857341.5,14564
973712.5,14565
914907.1,14566
767055.6,14567
952925,14568
922499.2,14573
819220.44,14575
744591,14576
1048196.5,14577
904545.8,14578
1003462.4,14580
947530.44,14581
924009.75,14595
938980.75,14597
984702.8,14598
787021.1,14599
1022220.6,14600
869175.5,14601
887067.44,14620
954838,14622
1021044.5,14623
897387.1,14624
1153046.2,14626
811659.4,14628
1106930.4,14630
1024984.6,14631
951583.1,14649
839711.44,14650
904597.5,14652
1321661.1,14654
991154,14656
782494.75,14657
971524.5,14658
1013481.94,14681
922402.9,14683
1085087.6,14685
974972.06,14688
889759.1,14689
1045002.25,14690
799703.8,14691
911853.1,14692
904931.2,14693
989873,14695
977393.44,14697
925789,14698
1125628,14699
971036.5,14700
1085892.6,14701
937508,14702
969966.75,14703
946612.75,14704
935751.06,14706
986307.4,14707
827869.7,14708
1042364.8,14710
982732.56,14730
972176.56,14731
894778.75,14732
909528.5,14749
883095.44,14750
923002.9,14751
952280.3,14754
1077713.4,14755
1118422.4,14756
1017338.94,14757
743322.1,14758
879760.5,14759
883379.5,14774
1003663.6,14776
1097563.6,14777
1108516,14778
836159.3,14779
1091997.2,14780
