Id,StreetName,UnitNumber,StreetNumber,SuburbName,SuburbCode,SoldDate,DayOfWeek,DayType,HolidayStatus,SoldStatus,PropertyType,Bed,Bath,Garage,LongTermResidentPercent,RentedResidentPercent,SingleResident,Garden,Pool,Heating,Cooling,AvgDaysOnMarketSuburb,PropertySoldInSuburb,LandSize,BuildYear,NumOfTimesSold,NumOfTimesRented,LastSoldPrice,LastRentedPrice,LastSoldYear,LastRentedYear,MinTemp,MaxTemp,AvgRainfall,DistanceCBD,DistanceRailwayStation,DistanceBusStation,DistanceShoppingMall,DistanceSchool,PriceLowEnd,PriceHighEnd,Frontage,Slop,ExternalPricePrediction,SimilarPropertyPrice1,SimilarPropertyPrice2,SalePrice
5,Burwood Highway,SIX,SIX,burwood,3125,20161011,WkDay,TuDay,WrkngDy,sold,AptFlat,1,1,0,44,65,62,N,N,N,N,108.5,116.5,986,0,1,4,0,230,0,2016,7.5,15.1,1.4,18.6,16.9,10,1.8,1.86,225000,300000,19.2,NrlyLvl,0,723000,670000,100000
8,Burwood Hwy,NINE,NA,burwood,3125,20170505,WkDay,FDay,WrkngDy,sold,AptFlat,1,1,0,44,65,62,N,N,Y,N,108.5,116.5,0,0,1,3,0,195,0,2016,6.2,20.5,0,18.6,16.8,9.9,1.8,1.89,120000,155000,0,NA,0,723000,670000,135000
10,Burwood Highway,NINE,EIGHT,burwood,3125,20150728,WkDay,TuDay,WrkngDy,sold,AptFlat,1,1,0,44,65,62,N,N,N,N,108.5,116.5,1912,1991,3,3,109000,200,2014,2016,7.9,14.4,0,18.6,16.8,9.9,1.8,1.88,0,0,0,NA,0,653000,723000,100000
25,Delany Avenue,ONE,ONE,burwood,3125,20150202,WkDay,MDay,WrkngDy,sold,AptFlat,1,1,1,31,62,79,N,N,Y,N,108.5,116.5,712,2005,2,0,214500,0,2006,0,13.5,21.1,3.8,17.8,0.9,0.1,1.7,1.63,125000,160000,15.6,GntlyInclnd,0,670000,739000,150000
32,Burwood Highway,SIX,NA,burwood,3125,20161020,WkDay,ThDay,WrkngDy,sold,AptFlat,2,1,0,48,41,66,N,N,N,N,108.5,116.5,0,0,0,0,0,0,0,0,6.8,21.8,0,17.7,17.7,10.8,2.7,1.5,0,0,0,NA,0,0,0,240000
34,Burwood  Highway,SEVEN,SIX,burwood,3125,20151111,WkDay,WDay,WrkngDy,sold,AptFlat,2,2,0,41,64,76,N,N,N,N,108.5,116.5,0,0,3,5,250000,410,2015,2016,11.5,20.1,2,17.1,18.3,11.4,3.3,1.51,410000,925000,0,NA,0,420000,653000,250000
44,Yarra Bing Crescent,FOUR,TWO,burwood,3125,20170920,WkDay,WDay,WrkngDy,sold,AptFlat,2,1,1,66,48,68,N,N,Y,Y,108.5,116.5,1972,2010,2,2,390000,410,2010,2017,6,19.2,0,19.3,1.4,0.3,1.5,2.57,0,0,0,NA,0,670000,758000,338000
62,Yarra Bing Crescent,EIGHT,SIX,burwood,3125,20171024,WkDay,TuDay,WrkngDy,sold,AptFlat,1,1,1,66,48,68,N,N,N,N,108.5,116.5,2558,2011,2,2,375000,370,2011,2017,12.1,20.5,0.2,19.5,1.6,0.1,1.7,2.47,0,0,0,GntlyInclnd,0,670000,739000,350000
92,Yarra Bing Crescent,FIVE,FOUR,burwood,3125,20171020,WkDay,FDay,WrkngDy,sold,AptFlat,2,2,1,66,48,68,N,N,Y,Y,108.5,116.5,2600,2009,1,0,0,0,0,0,11.3,16.2,2.6,19.4,1.5,0.3,1.6,2.52,0,0,0,GntlyInclnd,0,670000,739000,460000
93,Yarra Bing Crescent,ONE,SIX,burwood,3125,20161108,WkDay,TuDay,WrkngDy,sold,AptFlat,2,1,2,66,48,68,N,N,N,N,108.5,116.5,2558,2011,1,0,0,0,0,0,11,18.2,0.2,19.5,1.6,0.1,1.7,2.55,470000,615000,0,GntlyInclnd,0,670000,739000,450000
143,Burwood Hwy,THREE,FIVE,burwood,3125,20141108,WkEnd,SDay,WrkngDy,sold,AptFlat,2,1,2,66,48,68,Y,N,Y,N,108.5,116.5,1085,2011,1,1,0,500,0,2011,18,34.9,0,18.9,18.1,11.2,3.1,2.26,520000,680000,0,NA,0,670000,739000,535000
144,Bronte Avenue,FOUR,NINE,burwood,3125,20140628,WkEnd,SDay,WrkngDy,sold,AptFlat,2,1,1,57,33,61,Y,N,Y,N,108.5,116.5,176,1965,2,4,360000,360,2007,2015,9.7,13.3,0,18.1,0.2,0.2,2,2.84,520000,680000,0,NA,618667,670000,739000,500000
201,Aylwin Avenue,TWO,NA,burwood,3125,20141112,WkDay,WDay,WrkngDy,sold,AptFlat,2,1,1,54,35,47,N,N,Y,N,108.5,116.5,1045,1976,2,2,90000,420,1988,2018,7.9,22.8,0,16.4,0.9,0.6,0.9,2.16,415000,985000,18.9,NrlyLvl,712667,653000,670000,550000
256,Gracehill Avenue,NA,FOUR,burwood,3125,20160618,WkEnd,SDay,WrkngDy,sold,AptFlat,2,1,1,64,30,50,Y,N,N,N,108.5,116.5,1183,1999,4,0,138000,0,1998,0,10,12.7,8.6,20.2,1.6,0.7,1.3,1.18,0,0,0,NA,638167,1080000,1200000,600000
258,Somers Street,EIGHT,SIX,burwood,3125,20151212,WkEnd,SDay,WrkngDy,sold,AptFlat,2,1,1,54,35,47,N,N,Y,Y,108.5,116.5,132,1960,4,6,415000,320,2009,2011,10.1,18.3,2,16,0.2,0.1,0.6,2.12,495000,645000,0,NA,0,653000,670000,600000
