SalePrice,Id
1137078.6,1258
1148806.2,1262
1394534.8,1272
1231626.4,1273
1310942.2,1286
1324373,1295
1220661.1,1297
1398018.4,1311
1229558.1,1327
1464304,1336
1302708.2,1343
1247376.2,2223
1182090,2224
1198449.6,2254
1401686.8,2255
1255321.1,2260
1179504.6,2275
1016945.6,2298
1156958,2299
1200684.8,2302
1071712.6,2324
1197798.1,2331
1326470.4,2359
1412548.5,2360
1282720,2361
1092155.9,2374
1450592.5,2380
1427592.6,2383
1371268.2,2397
1408911.6,2398
1329334,2402
1255554.6,2418
1516900,2426
1411454.8,2429
1134248.6,2432
1332986.5,2433
1251361.4,2434
1267232.4,2440
1281127.2,2463
1558099.4,2468
1407455.6,2469
1491371.8,2472
1555302.2,2473
1503818.5,2474
1564310.9,2479
1526442.8,2482
1282675.8,2490
1237321.2,2494
1670752.2,2497
1395834.5,2501
1402652.4,2521
1572958.1,2524
1488896.4,2539
1845267.9,2541
1757685.6,2556
1535308.8,2557
1672120.8,2569
1300213.4,2576
1878320.2,2578
1684888,2625
668913.56,2997
670529.25,3013
594866.3,3015
661618.6,3121
733937.8,3204
652504.8,3206
880536.06,3216
689583.25,3276
713344.6,3289
939841.2,3327
817046.4,3328
813694.25,3335
839143.56,3336
939462.2,3338
797146.06,3341
957300.9,3405
545609.56,12952
506428.47,12975
573278.6,12979
580382.25,12991
536386.25,12995
535551.06,12997
501349.16,12998
590542.56,13013
590139.6,13014
509561.3,13015
585713.6,13016
643024.25,13062
550561.1,13066
555906.4,13070
511512.12,13072
696278.56,13076
692912.5,13077
827245.9,13078
697998.8,13079
689206.44,13082
704644.4,13083
563247,13084
596614.7,13091
608982.25,13092
572576.7,13094
689206.44,13099
588744.1,13100
658936.8,13146
575214.6,13148
587597,13149
592534.4,13150
573173.25,13153
580602.06,13211
633086.44,13217
563247,13221
648648.3,13227
665364.6,13232
649790.2,13275
617690.25,13340
671901.6,13346
583592.75,13357
730136,13358
741300.44,13359
649889.4,13360
860673.5,13366
594912.8,13414
601941.44,13528
730136,13530
686736.2,13542
705057.7,13545
621632.06,13552
563881.5,13587
578033.7,13588
632100.2,13677
870271.94,14470
917797.8,14471
803886.6,14474
863259.06,14475
856712.94,14493
982347.7,14494
996835.4,14496
825418.2,14497
859843.75,14500
948751.75,14501
964219.7,14502
808047.75,14503
856208.1,14504
889145.3,14536
894514.7,14537
1073738.4,14541
846876,14542
715161.4,14543
804095.3,14554
1007634.2,14556
1026664.3,14557
889550.9,14562
852364.6,14563
840558.2,14564
919612.5,14565
923041.06,14566
770595.1,14567
924243,14568
924811.9,14573
842183.9,14575
721583.6,14576
1045391.1,14577
875047.2,14578
981565.06,14580
990244.94,14581
927943.3,14595
904380.75,14597
955254.8,14598
800867.8,14599
1050932.4,14600
822458.1,14601
879768.5,14620
984791.94,14622
982347.7,14623
890390.4,14624
1128533,14626
784441.75,14628
1062370.4,14630
950062.06,14631
925982.7,14649
881943.9,14650
956735.44,14652
1073738.4,14654
951384.06,14656
808840,14657
940804.44,14658
996279.06,14681
924686.5,14683
993059.9,14685
964986.5,14688
836544.6,14689
983615.25,14690
806601.75,14691
965504.06,14692
893936.7,14693
954125.4,14695
904651.7,14697
893018.25,14698
1164210.2,14699
997218,14700
1080951,14701
947523.25,14702
942852.6,14703
947870.5,14704
988487.8,14706
993470.75,14707
825111.1,14708
1101479.4,14710
951233.9,14730
982817.7,14731
909935.94,14732
921036.3,14749
902903.06,14750
925733.3,14751
949052.7,14754
1134955.8,14755
1243436.5,14756
1058794.6,14757
759297.56,14758
892981.44,14759
871659.25,14774
929427.5,14776
1028369.9,14777
1118922,14778
823274.7,14779
1141934.8,14780
989463.1,14781
943264.9,14794
1440942.5,14795
1001456.94,14797
927562.06,14798
980182.5,14799
1235010.6,14800
945251.8,14802
1089755.2,14803
1006463.9,14804
1028462.7,14805
1019004.06,14806
1058625.9,14809
975622,14812
1153518,14813
977015.44,14814
954945,14815
997218,14816
1039803.25,14817
822641.94,14818
968570.3,14838
1039521.3,14840
934644.75,14841
1084486.4,14842
949052.7,14853
759297.56,14854
1168866.1,14855
1092471.1,14856
972300.1,14857
972720.8,14858
1072491.8,14873
1170368.4,14874
1074054.8,14875
843014.94,14876
1119181.6,14886
1068820.1,14890
1128534.6,14891
1263014.9,14892
1161278,15028
1046039.6,15029
922910.7,15030
1085935.8,15052
1260015.4,15053
1154358.9,15054
1287004,15072
1167899.8,15073
1225800.8,15075
1032361.56,15076
1158086.8,15080
1297379.5,15081
1308548,15082
1020665.2,15083
925076.2,15093
1011993.44,15094
1261582.4,15095
1189051.4,15096
1307993.9,15097
1253435,15098
1201040.1,15099
1200236.8,15100
1341000.9,15101
1283526.2,15105
1314690.5,15107
1203981.2,15108
1212610.6,15109
1211780.8,15110
1396601.5,15112
1284614.9,15113
1208883.2,15114
1296074,15115
1306731.1,15116
1081758.5,15117
1251811.8,15118
1152204.6,15138
1315787,15139
1181281.2,15148
1221015.9,15151
1323986.1,15152
1247800.1,15153
1328169.8,15154
1103653.9,15155
1603201,15165
1207823,15166
1330374.5,15167
1516407.1,15168
1573440,15169
1096438.5,15170
1346595,15171
1426019,15172
1383121.6,15173
1536032.2,15174
1528376,15175
1360694,15176
1481901.4,15183
1437557.5,15184
1313884,15186
1381127,15187
1402185.8,15188
1616046.4,15197
1505076.5,15199
1075809.1,15200
1309018.4,15208
1387395.4,15211
1211328,15212
1200058.9,15213
1215238.4,15214
1170294.1,15215
1414991,15223
1387015.5,15224
1375685.4,15225
1365059,15226
1157354.4,15227
1155359.4,15229
1194951.9,15230
1254104.2,15231
1162502.2,15234
925742.75,15235
1365856.8,15248
1229066.1,15250
1368556.5,15251
1259598,15256
1340998.8,15258
1323283.4,15266
1226143.8,15267
1202021,15268
1372423,15272
1338290.4,15275
1488903.5,15276
1463319.1,15277
1317851.9,15278
1053110.9,15282
1379179.5,15283
1567915.8,15284
1241474.2,15285
1423332,15292
1307282.5,15293
1470864.8,15294
1364987.4,15297
1489823.5,15298
1490766.4,15299
1448671.9,15303
1433677.4,15308
1394245.1,15325
1490283.4,15327
494059.6,15427
436683.6,15433
481153.75,15440
489793.6,15442
437062.56,15453
604791.2,15556
508428.53,15559
437062.56,15576
464392.28,15584
403168.28,15672
472732.22,15674
395585.8,15675
507376.62,15685
508428.53,15686
539857.9,15696
428647.88,15698
414217.5,15703
451524.2,15710
373709.47,15796
403168.28,15798
482240.7,15816
462432.25,15838
558891,15840
411701.28,15841
502722.1,15842
517353.88,15909
621791.5,15910
559382.25,15918
654055.5,15923
539799.9,15928
605743.5,15934
563658.4,15935
630244.7,15938
515605.56,15940
452407.9,16026
508591.56,16028
707357.44,16048
584142.5,16052
633989.8,16056
501507.97,16063
712163.5,16066
604163.06,16067
565077.4,16068
658037.5,16070
596959.75,16073
537052.2,16074
583801,16076
738103.4,16077
569371.4,16199
796736.5,16203
708629.56,16206
577115.1,16208
635977.06,16212
741529.94,16226
593417.2,16229
611651.94,16231
772507,16232
691572.94,16233
707357.44,16234
644829.75,16236
584142.5,16239
662512.4,16240
633989.8,16243
650687.44,16244
758384.6,16250
741498.9,16251
749757.4,16253
722518.3,16256
669104.75,16257
596959.75,16258
709161,16259
685421.44,16260
621280.7,16263
699003,16264
738103.4,16266
833995.6,16267
757821.3,16343
568725.7,16347
577115.1,16349
740509.94,16359
757914.44,16363
762486,16364
760780.4,16366
619619.25,16368
829536.8,16369
745049.44,16371
870427.2,16374
946470.94,16376
806193.1,16377
558988.06,16378
629272,16380
673013.94,16381
571494.8,16384
599514.2,16385
578173.1,16389
578624.94,16391
676016.4,16392
656922.94,16394
612809.2,16396
685294.75,16458
570906.9,16460
552384.8,16461
626821.4,16463
649892,16465
675451.4,16483
680000.3,16484
669451.56,16485
685809.56,16486
665535.8,16487
582555.4,16488
626485.4,16493
596880.2,16494
684066.3,16509
710820.75,16510
627063.06,16511
733063.6,16512
643255.5,16513
748796.9,16514
738634.56,16515
810048.5,16563
672545.06,16568
695847.94,16571
752509.6,16572
752649,16585
677665.7,16586
748063.9,16588
743419.3,16593
707101.9,16594
730086.6,16596
616926.56,16597
724690.75,16598
624566.9,16599
672626.4,16602
581412.25,16641
810048.5,16642
750067.8,16643
693098.6,16646
799058.75,16648
806062.4,16658
604325.3,16664
651225.6,16670
687118.06,16704
847861.2,16705
672673.06,16706
687468.44,16709
794200.7,16710
677204.5,16720
933898.44,16722
737759.2,16723
677431.75,16731
669689.06,16735
742550.6,16736
837890.25,16767
879716.3,16769
712779.75,16770
754081.8,16771
791172.7,16772
857817.3,16773
