Idss,Id
518376.2,95
432044.53,121
453398.7,130
446415.3,135
511840.88,138
612643.5,142
745517.3,202
977400.1,252
747722.3,274
641725.75,278
776381.7,279
758489.44,336
612148.44,359
724523.4,361
861671.7,363
816137.4,364
734330.3,368
1026151.0,369
1189363.0,370
764457.75,435
672488.94,439
622580.9,442
641797.8,454
639957.1,459
846142.5,461
801150.6,462
920147.75,464
966496.5,465
821372.94,522
727183.6,526
844352.25,527
927276.5,528
786338.1,529
1070354.5,530
1043866.4,532
1175960.1,533
631206.25,539
769492.1,541
726561.4,546
757160.1,547
875421.6,549
1100528.6,550
1021141.1,551
974560.1,552
855230.75,553
699574.56,605
764419.56,606
836296.94,608
872720.3,611
913340.2,612
791489.94,614
875982.9,615
1247048.8,617
1147419.8,618
996952.56,626
698808.25,627
905939.8,631
787552.75,632
743513.7,634
1004535.2,636
944536.3,638
997916.56,640
914486.8,641
1109254.9,642
1001238.75,644
1028916.25,647
830532.75,648
973456.0,651
979703.94,652
992782.4,653
1183926.2,654
1104353.4,655
835949.4,698
960007.56,701
754971.6,707
872388.0,709
1135181.2,711
959777.44,713
844534.1,714
1107623.5,716
1221038.1,717
1081631.8,735
1167409.0,740
1185203.1,741
1215817.9,744
1339255.1,745
975028.9,783
1051105.1,784
761025.94,790
715349.44,791
1113461.5,796
1040082.1,797
1111087.2,798
781553.7,808
728720.56,809
969788.9,810
874795.3,814
1135416.8,815
889462.56,816
995032.56,817
919907.9,818
935010.5,819
1043011.6,820
991304.3,821
1130344.2,822
1087772.4,825
1284048.1,826
1142964.8,827
1146982.6,829
1197378.0,830
1153494.5,831
1242694.1,832
1477802.8,833
1090704.0,834
979046.9,861
909949.2,868
851947.2,869
1081182.2,870
1145732.2,871
1000609.75,872
1094274.4,875
1113316.5,876
1157181.6,877
1120158.8,878
896391.1,885
972965.0,887
873315.56,889
1050311.1,891
1052512.0,892
1239979.1,894
1190436.6,896
1079520.4,897
1260878.9,898
1262609.2,899
1184000.9,900
1191548.2,901
1216957.2,902
964281.94,918
1153366.4,919
1152737.9,920
1101220.0,923
1050789.1,926
895228.2,927
1101606.0,928
1129484.0,931
1123207.2,933
1051653.8,934
1192226.6,935
1016287.8,936
933067.75,937
1082344.5,939
1148365.2,942
1386917.8,943
1190339.1,944
1260643.9,945
1281242.5,946
1339137.0,947
975741.8,956
