Id,StreetName,UnitNumber,StreetNumber,SuburbName,SuburbCode,SoldDate,DayOfWeek,DayType,HolidayStatus,SoldStatus,PropertyType,Bed,Bath,Garage,LongTermResidentPercent,RentedResidentPercent,SingleResident,Garden,Pool,Heating,Cooling,AvgDaysOnMarketSuburb,PropertySoldInSuburb,LandSize,BuildYear,NumOfTimesSold,NumOfTimesRented,LastSoldPrice,LastRentedPrice,LastSoldYear,LastRentedYear,MinTemp,MaxTemp,AvgRainfall,DistanceCBD,DistanceRailwayStation,DistanceBusStation,DistanceShoppingMall,DistanceSchool,PriceLowEnd,PriceHighEnd,Frontage,Slop,ExternalPricePrediction,SimilarPropertyPrice1,SimilarPropertyPrice2,SalePrice
14649,Euston Road,ONE,THREE,hughesdale,3166,20160723,WkEnd,SDay,WrkngDy,sold,TwnHse,3,2,2,52,42,45,N,N,Y,N,70,43.5,360,1975,1,0,0,0,0,0,7.5,11.6,2.8,19.5,0.1,0.1,0.7,0,880000,1170000,16.3,NrlyLvl,1075333,595000,330000,900000
14650,Richardson Street,NA,TWO,hughesdale,3166,20160430,WkEnd,SDay,WrkngDy,sold,AptFlat,3,2,2,63,39,51,Y,N,N,N,70,43.5,683,1999,1,0,0,0,0,0,16.4,24.1,6.2,19.6,0.2,0.081,1.5,0.66,845000,1110000,0,NA,1047667,900000,675000,860000
14651,Darling Street,TWO,FIVE,hughesdale,3166,20150516,WkEnd,SDay,WrkngDy,sold,TwnHse,3,2,2,55,40,40,N,N,Y,N,70,43.5,0,2005,2,0,680000,0,2008,0,11.3,16.2,0,20,0.2,0.2,1.8,0.61,880000,1170000,0,NA,1132667,752000,450000,891000
14652,Arthur Street,NA,EIGHT,hughesdale,3166,20141129,WkEnd,SDay,WrkngDy,sold,Hse,3,1,2,50,51,53,Y,N,Y,Y,70,43.5,471,1980,1,0,0,0,0,0,11.9,24.1,0,20.7,0.4,0.3,1.3,0,1080000,1430000,0,NrlyLvl,1244667,1590000,1440000,860000
14654,Dandenong Road,NA,EIGHT,huntingdale,3166,20160227,WkEnd,SDay,WrkngDy,sold,Hse,3,1,2,55,37,47,N,N,N,N,59.5,16.5,702,1950,1,0,0,0,0,0,17.7,22.2,0,20.8,3.9,11.6,3.6,0.57,910000,1370000,21.4,GntlyInclnd,1108333,997000,1100000,850000
14655,North Road,NA,NINE,oakleigh,3166,20161208,WkDay,ThDay,WrkngDy,sold,Hse,3,1,2,64,30,48,Y,N,N,Y,98,59,693,1950,3,0,756660,0,2014,0,15.4,23.2,2.2,21.5,0.5,2.1,7.1,0.35,925000,1230000,16.0,NrlyLvl,0,1050000,890000,865000
14656,Burlington Street,NA,NINE,oakleigh,3166,20160629,WkDay,WDay,WrkngDy,sold,Hse,2,2,2,63,40,47,Y,N,N,N,98,59,424,1940,3,0,530000,0,2011,0,8.9,15.8,0.2,20.1,0.2,0.076,0.5,1.3,925000,1230000,13.7,NrlyLvl,960000,1010000,1230000,868000
14657,Parer Street,TWO,SIX,oakleigh,3166,20151212,WkEnd,SDay,WrkngDy,sold,TwnHse,4,3,2,64,30,48,Y,N,Y,N,98,59,733,1960,1,0,0,0,0,0,10.1,18.3,2,21,0.6,0.2,1.4,0.48,800000,1060000,15.2,NrlyLvl,897333,826000,1600000,860000
14658,Abbeygate Street,NA,TWO,oakleigh,3166,20141122,WkEnd,SDay,WrkngDy,sold,Hse,3,1,2,65,21,47,Y,N,Y,N,98,59,679,1950,1,1,0,520,0,2016,12.9,31,0,20.3,1.4,0.4,0.9,5.24,1120000,1510000,0,NrlyLvl,1076667,1030000,1120000,870000
14661,Calista Avenue,ONE,EIGHT,oakleigh,3166,20171007,WkEnd,SDay,WrkngDy,sold,BlkUnt,3,2,2,45,49,50,Y,N,Y,N,98,59,0,0,3,1,760000,270,2015,2002,7.2,23.7,0.2,22.7,3.4,0.3,1.3,1.11,0,0,0,NA,0,780000,962000,876500
14662,Nonna Street,ONE,TWO,oakleigh,3166,20170708,WkEnd,SDay,WrkngDy,sold,Hse,3,2,2,53,35,41,N,N,N,N,98,59,0,0,1,1,0,430,0,2010,5.3,13.5,0,23.4,1.1,0.8,0.5,0.67,765000,1010000,0,NA,0,1240000,1120000,875000
14663,Ferntree Gully Road,TWO,SIX,oakleigh,3166,20170429,WkEnd,SDay,WrkngDy,sold,TwnHse,3,2,2,35,39,55,N,N,Y,N,98,59,0,0,3,0,670000,0,2014,0,14.9,18.1,0.2,20.2,15.2,1.5,13.2,0.3,600000,1230000,0,NA,0,712000,860000,866000
14664,Berrima Street,NA,SIX,oakleigh,3166,20161008,WkEnd,SDay,WrkngDy,sold,Hse,3,1,2,63,25,43,Y,N,Y,Y,98,59,0,0,1,1,0,460,0,2017,9.7,16.9,0,22.6,0.1,0.1,1,1.19,925000,1230000,0,NA,0,1240000,1120000,880000
14665,Coane Street,NA,TWO,oakleigh,3166,20161005,WkDay,WDay,WrkngDy,sold,TwnHse,4,3,1,61,37,48,Y,N,N,N,98,59,0,0,0,0,0,0,0,0,8,17.1,2.8,22.4,0.6,0.6,2.4,0.57,0,0,0,NA,0,0,0,880000
14666,Ferntree Gully Road,NA,NA,oakleigh,3166,20160630,WkDay,ThDay,WrkngDy,sold,Hse,4,3,2,60,39,44,N,Y,Y,N,98,59,0,0,2,0,325000,0,2003,0,10.3,11.7,0,23.7,15.4,1.6,13.3,0.48,800000,1740000,0,NA,0,955000,1740000,850000
14667,Dandenong Road,NA,SEVEN,oakleigh,3166,20160608,WkDay,WDay,WrkngDy,sold,Hse,3,2,2,56,33,40,Y,N,Y,N,98,59,0,0,5,1,499900,530,2009,2016,9.7,14.7,1.2,21,5.1,2.6,3.5,0.54,910000,1380000,0,NA,0,997000,1200000,870000
14668,Greta Street,NA,THREE,oakleigh,3166,20160430,WkEnd,SDay,WrkngDy,sold,Hse,3,1,2,49,42,55,Y,N,Y,N,98,59,0,0,2,0,900000,0,2016,0,16.4,24.1,6.2,22,1.6,0.1,1.9,0.4,1080000,1430000,0,NA,0,1120000,1280000,900000
14669,Elysium Crescent,NA,ONE,oakleigh,3166,20160423,WkEnd,SDay,WrkngDy,sold,Hse,3,1,1,66,25,49,N,N,N,N,98,59,0,0,1,0,0,0,0,0,12.3,18.6,0,23.5,2.9,1,2.9,0.22,1080000,1430000,0,NA,0,1120000,1440000,859000
14670,Calista Avenue,NA,NINE,oakleigh,3166,20151208,WkDay,TuDay,WrkngDy,sold,Hse,3,1,2,45,49,50,Y,N,Y,N,98,59,0,0,1,1,0,350,0,2016,20.3,35.4,0.8,22.6,3.8,0.5,1.2,1.19,880000,1170000,0,NA,0,1240000,1120000,850000
14671,Macrina Street,TWO,TWO,oakleigh,3166,20151128,WkEnd,SDay,WrkngDy,sold,Hse,4,2,2,53,35,41,N,N,N,N,98,59,0,0,1,0,0,0,0,0,12,20.1,0,23.1,3,0.5,0.2,0.48,1030000,1360000,0,NA,0,1240000,1120000,889000
14672,Gordon Avenue,TWO,FIVE,oakleigh,3166,20151001,WkDay,ThDay,WrkngDy,sold,TwnHse,4,3,2,68,19,44,N,N,N,N,98,59,0,0,3,0,675000,0,2010,0,6,21.6,0,23.6,2.9,0.8,0.7,0.6,911000,1530000,0,NA,0,1100000,1000000,888000
14673,Fern Street,NA,SIX,oakleigh,3166,20150418,WkEnd,SDay,WrkngDy,sold,Hse,4,2,2,60,39,44,Y,N,N,N,98,59,0,0,1,0,0,0,0,0,13.5,21.9,3.6,20.2,0.7,0.1,0.6,0.39,1180000,1580000,0,NA,0,960000,970000,886000
14674,Dover Street,NA,FIVE,oakleigh,3166,20150406,WkDay,MDay,HliDy,sold,Hse,4,1,1,42,61,57,N,N,N,N,98,59,0,0,2,3,500000,400,2007,2015,11.2,18.4,0,23.4,1.6,0.6,2,0.57,1080000,1430000,0,NA,0,1210000,1240000,900000
14675,Nonna Street,NA,SIX,oakleigh,3166,20150228,WkEnd,SDay,WrkngDy,sold,Hse,3,1,1,53,35,41,Y,N,N,N,98,59,0,0,2,1,195000,500,1999,2016,17.9,32.3,0,23.4,1.1,0.8,0.5,0.68,1120000,1510000,0,NA,0,1100000,1000000,880000
14676,Macrina Street,NA,SIX,oakleigh,3166,20140315,WkEnd,SDay,WrkngDy,sold,Hse,2,1,1,60,29,51,N,Y,N,N,98,59,0,0,1,0,0,0,0,0,16.6,29.5,0,23.7,1,1,0.8,0.71,1030000,1360000,0,NA,0,1240000,1260000,862500
14678,North Road,TWO,ONE,hughesdale,3166,20170916,WkEnd,SDay,WrkngDy,sold,TwnHse,4,3,2,62,25,47,N,N,Y,Y,70,43.5,765,1950,1,2,0,550,0,2017,7.4,13.3,21.4,20.5,3.8,0.2,5.6,0.46,0,0,16.2,NrlyLvl,0,826000,1600000,917000
14679,Calembeena Avenue,ONE,EIGHT,hughesdale,3166,20160917,WkEnd,SDay,WrkngDy,sold,AptHseTwnHse,3,1,1,66,31,42,Y,N,Y,N,70,43.5,342,1930,1,1,0,370,0,2010,11.1,19.8,0,20.3,0.4,0.5,1.7,0.31,0,0,16.2,NrlyLvl,987500,0,0,905000
14680,Warrigal Road,NA,NINE,hughesdale,3166,20160813,WkEnd,SDay,WrkngDy,sold,Hse,4,1,2,60,30,44,Y,N,Y,Y,70,43.5,369,0,3,1,295000,400,2003,2009,7.9,15.1,1.6,19.7,0.8,0.5,2.4,0,0,0,0,NA,962000,385000,1240000,900000
14681,Willesden Road,TWO,EIGHT,hughesdale,3166,20150625,WkDay,ThDay,WrkngDy,sold,HseTwnHse,4,3,2,52,50,46,Y,N,Y,Y,70,43.5,223,1940,1,0,0,0,0,0,9.6,14,0,19.3,0.5,0.7,0.3,0.53,925000,1230000,15.3,NrlyLvl,1148000,1080000,1100000,930000
14682,Willesden Road,ONE,EIGHT,hughesdale,3166,20150529,WkDay,FDay,WrkngDy,sold,AptHse,4,2,2,52,50,46,Y,N,Y,Y,70,43.5,703,1940,1,0,0,0,0,0,9.5,15.8,0,19.3,0.5,0.7,0.3,0.53,0,0,15.3,NrlyLvl,1148000,468000,640000,905000
14683,Warrigal Road,NA,SEVEN,hughesdale,3166,20150502,WkEnd,SDay,WrkngDy,sold,Hse,3,2,2,66,31,42,N,N,N,N,70,43.5,732,1976,4,1,630000,210,2010,2003,11.6,22.2,0,19.8,0.9,0.4,2.5,0,880000,1170000,16.3,NrlyLvl,1313000,1240000,1420000,925000
14685,Fenton Street,ONE,TWO,huntingdale,3166,20170722,WkEnd,SDay,WrkngDy,sold,Hse,3,2,2,55,37,47,N,N,Y,N,59.5,16.5,349,1995,1,4,0,370,0,2010,5.4,12.4,0,20.9,1.7,1.2,2,0.67,840000,1420000,0,GntlyInclnd,863333,1120000,997000,910000
14686,Berkeley Street,NA,FIVE,huntingdale,3166,20170218,WkEnd,SDay,WrkngDy,sold,AptFlat,3,2,2,57,39,48,Y,N,Y,Y,59.5,16.5,0,0,0,0,0,0,0,0,13.3,18.9,0,21,0.4,0.2,1,0.8,0,0,0,NA,0,0,0,900000
14687,Dandenong Road (in service lane),NA,NA,huntingdale,3166,20160924,WkEnd,SDay,WrkngDy,sold,Hse,3,1,2,55,37,47,N,N,Y,N,59.5,16.5,0,0,1,0,0,0,0,0,10,20.1,0,20.6,0,0,0,0.42,925000,1230000,0,NA,0,997000,1100000,928500
14688,Hargreaves Street,NA,NINE,huntingdale,3166,20160903,WkEnd,SDay,WrkngDy,sold,Hse,3,2,2,67,32,48,Y,N,Y,N,59.5,16.5,602,1950,4,0,542500,0,2009,0,10,15.7,0.2,21.2,0.2,0.2,1.3,0.6,925000,1230000,18.1,NrlyLvl,1084333,960000,1100000,941000
14689,Leigh Street,NA,FIVE,huntingdale,3166,20160604,WkEnd,SDay,WrkngDy,sold,Hse,3,1,2,57,39,48,Y,N,Y,N,59.5,16.5,652,1976,4,0,98550,0,1992,0,9.8,13.4,6.2,21,1.8,0.7,0.8,0.66,975000,1290000,19.9,NrlyLvl,1076667,960000,1100000,920000
14690,Greville Street,NA,SEVEN,huntingdale,3166,20160416,WkEnd,SDay,WrkngDy,sold,Hse,3,1,2,55,37,47,Y,N,Y,N,59.5,16.5,602,1950,1,0,0,0,0,0,14,20.3,0,21.1,2.4,1.1,2.2,0.71,975000,1290000,18.1,NrlyLvl,1055000,1100000,1200000,936000
14691,Shafton Street,NA,NA,huntingdale,3166,20151130,WkDay,MDay,WrkngDy,sold,Hse,3,1,1,70,29,46,N,N,N,N,59.5,16.5,730,1980,1,0,0,0,0,0,10,32.2,0,21,0.7,1.3,2.2,0.84,925000,1230000,16.5,NrlyLvl,1162296,960000,997000,910000
14692,Garnett Street,NA,ONE,huntingdale,3166,20151008,WkDay,ThDay,WrkngDy,sold,Hse,3,1,2,55,37,47,Y,N,Y,Y,59.5,16.5,338,1950,2,1,285000,320,2002,2007,7.6,18.6,0,20.7,0.9,0.4,0.8,0.48,925000,1230000,20.4,GntlyInclnd,969000,455000,1150000,936000
14693,Garnett Street,NA,ONE,huntingdale,3166,20150711,WkEnd,SDay,WrkngDy,sold,Hse,3,1,1,57,39,48,Y,N,Y,Y,59.5,16.5,233,1975,1,0,0,0,0,0,10.9,13.1,0.2,20.7,0.9,0.3,0.7,0.41,1030000,1360000,21.4,NrlyLvl,806667,997000,1100000,922000
14694,Haughton Road,THREE,NA,oakleigh,3166,20170316,WkDay,ThDay,WrkngDy,sold,TwnHse,4,3,2,64,30,48,Y,N,Y,Y,98,59,717,0,0,0,0,0,0,0,21.7,23,1.8,20.8,1.3,0.6,1.2,0.62,0,0,0,NrlyLvl,0,0,0,940000
14695,Mora Avenue,NA,FOUR,oakleigh,3166,20160625,WkEnd,SDay,WrkngDy,sold,Hse,3,1,2,68,26,44,Y,N,Y,N,98,59,553,1935,1,0,0,0,0,0,5.6,12.7,2,20,0.3,0.3,1,0.85,975000,1290000,18.6,NrlyLvl,1051000,1120000,1220000,908000
14696,Hatter Street,NA,SEVEN,oakleigh,3166,20151114,WkEnd,SDay,WrkngDy,sold,Hse,4,1,2,65,21,47,N,N,N,N,98,59,566,1977,2,0,87000,0,1987,0,12.1,18.3,0.2,20.3,1.3,0.2,1.2,5.41,0,0,15.8,NrlyLvl,1341667,1030000,1420000,932500
14697,Hatter Street,NA,SIX,oakleigh,3166,20151107,WkEnd,SDay,WrkngDy,sold,Hse,2,1,2,79,15,41,Y,N,N,N,98,59,545,1980,1,1,0,430,0,2017,11.9,16.8,1.2,19.9,1.1,0.6,1.3,1.15,840000,1720000,15.5,NrlyLvl,1091000,1100000,1050000,945000
14698,Estelle Street,NA,EIGHT,oakleigh,3166,20151024,WkEnd,SDay,WrkngDy,sold,Hse,3,1,1,82,14,33,N,N,N,N,98,59,682,1995,3,3,195000,280,2000,2009,9.2,19.5,0,20.4,0.063,0.063,1.3,3.41,975000,1290000,15.0,NrlyLvl,1192296,950000,970000,950000
14699,Atherton Road,NA,SIX,oakleigh,3166,20151017,WkEnd,SDay,WrkngDy,sold,Hse,3,2,2,63,30,36,Y,N,Y,N,98,59,619,1930,4,1,132000,690,1994,2017,11.5,20.5,0,19.8,0.7,0.7,0.4,0.9,815000,1740000,0,NrlyLvl,1388333,1480000,985000,900000
14700,Golf Links Avenue,NA,ONE,oakleigh,3166,20150912,WkEnd,SDay,WrkngDy,sold,Hse,3,2,2,65,21,47,Y,Y,Y,Y,98,59,723,1920,5,0,788000,0,2012,0,12.2,21.7,0,20.5,1.3,0.03,0.9,5.3,800000,1360000,13.8,NrlyLvl,1091667,1030000,890000,950000
14701,John Street,NA,EIGHT,oakleigh,3166,20150905,WkEnd,SDay,WrkngDy,sold,Hse,3,2,2,63,30,36,N,N,Y,Y,98,59,543,1920,4,0,430135,0,2003,0,10.2,14,0,20.1,0.2,0.2,0.3,0.75,830000,1420000,15.2,NrlyLvl,1224000,960000,1120000,945000
14702,Hatter Street,NA,EIGHT,oakleigh,3166,20150820,WkDay,ThDay,WrkngDy,sold,Hse,2,1,1,65,21,47,N,N,N,N,98,59,566,1950,2,0,86500,0,1987,0,6.1,17.1,0,20.3,1.3,0.2,1.2,5.39,975000,1290000,15.8,NrlyLvl,1148733,1090000,840000,932000
