
,DNN REGRESSION,,,,,DNN  SHALLOW

ID,ActualPrice,DNN_PRICE,Difference,Percent_DIFF,,ID,ActualPrice,DNN_Shallow_PRICE,Difference,Percent_DIFF

95,500000,479820.3757796237,20179.62422037631,4.035924844075262,,144,500000,483334.753355824,16665.24664417602,3.333049328835204
121,460000,422763.4033778577,37236.5966221423,8.09491230916137,,201,550000,536398.203908459,13601.79609154095,2.473053834825627
130,535000,464435.2113881274,70564.78861187259,13.189680114368707,,362,650000,649881.30216066,118.69783933996223,0.01826120605230188
135,530000,484638.2200739353,45361.779926064715,8.558826401144286,,367,650000,598341.2930396934,51658.70696030662,7.94749337850871
138,525088,514220.71730027796,10867.28269972204,2.069611703128245,,466,700000,935704.5019937042,235704.50199370424,33.67207171338632
142,550000,538483.790076056,11516.20992394397,2.0938563498079947,,524,752500,711985.8148311271,40514.18516887294,5.383944872939925
202,596000,688357.051291491,92357.05129149102,15.496149545552184,,613,810000,847884.4107847735,37884.41078477353,4.677087751206608
252,555000,781739.9662354225,226739.96623542253,40.8540479703464,,616,800000,931401.8360869209,131401.83608692093,16.425229510865115
274,650000,648946.7447860198,1053.2552139802137,0.16203926368926366,,646,800000,898192.9565450647,98192.95654506469,12.274119568133086
278,650000,599212.6678530079,50787.33214699209,7.81343571492186,,650,800000,828957.4902615306,28957.49026153062,3.6196862826913274
279,645000,642217.4577287951,2782.542271204875,0.4314019025123837,,729,850000,945440.8874440492,95440.88744404924,11.22833969929991
336,638000,689640.7940245279,51640.79402452789,8.09416834240249,,781,860000,879169.9872685391,19169.987268539146,2.2290682870394356
359,660000,605448.2783994091,54551.721600590856,8.265412363725886,,806,930000,939789.2078167606,9789.207816760638,1.052602991049531
361,675000,686568.520458824,11568.520458824001,1.713854882788741,,824,900000,993681.0059742975,93681.00597429753,10.409000663810836
363,675000,726509.659765045,51509.65976504504,7.631060705932599,,828,900000,926156.450573041,26156.450573040987,2.906272285893443
364,658000,723842.7347280326,65842.7347280326,10.006494639518634,,882,952000,1019481.0064797848,67481.00647978485,7.088341016784122
368,681000,619389.340587018,61610.65941298194,9.047086551098669,,888,950000,910601.0280649895,39398.971935010515,4.147260203685318
369,665000,858561.3372674609,193561.33726746088,29.106968010144495,,890,976000,958356.8190340375,17643.18096596247,1.8077029678240235
370,700000,934501.7567360284,234501.75673602836,33.50025096228976,,893,950000,920852.6213815487,29147.3786184513,3.068145117731716
435,711500,755467.7398440023,43967.739844002295,6.179583955587111,,938,1048000,901577.4805091828,146422.5194908172,13.97161445523065
439,745000,772589.0640403674,27589.064040367375,3.703230072532534,,940,1090000,1048344.8781059043,41655.121894095675,3.8215708159720805
442,722000,633416.8648744143,88583.13512558572,12.269132288862288,,969,1000000,999929.04641937,70.95358063001186,0.007095358063001185
454,740000,705412.8642053386,34587.13579466136,4.673937269548832,,971,1000000,992756.9116613503,7243.088338649715,0.7243088338649716
459,748000,656401.5641146138,91598.43588538619,12.245780198581041,,999,1000000,1052207.4281443136,52207.42814431363,5.220742814431363
461,725000,795566.4888775271,70566.48887752707,9.733308810693387,,1001,1035000,985006.134526647,49993.865473352955,4.8303251665075315
462,726000,762818.1321348166,36818.13213481661,5.071368062646916,,1033,1100000,1250850.7340000786,150850.73400007864,13.713703090916239
464,732000,835399.1175977542,103399.11759775423,14.125562513354403,,1034,1100000,1117897.1691939135,17897.16919391346,1.6270153812648602
465,720000,843368.1348661076,123368.1348661076,17.13446317584828,,1046,1100000,1129980.7117529947,29980.711752994685,2.725519250272244
522,790000,882460.2537949054,92460.25379490538,11.70382959429182,,1047,1162000,1175789.31155472,13789.311554719927,1.1866877413700454
526,780000,789764.3557941588,9764.355794158764,1.2518404864306107,,1058,1101000,1173355.4559594856,72355.45595948561,6.571794365075895
527,788000,863069.8332951019,75069.83329510188,9.526628590748969,,1059,1160000,1087646.4725413637,72353.52745863632,6.237373056778994
528,785000,883396.8612864645,98396.8612864645,12.534632011014587,,1060,1101000,1065158.6738947982,35841.32610520185,3.2553429704997137
529,785000,725793.1752112089,59206.82478879113,7.542270673731354,,1061,1128800,1082122.2453638054,46677.75463619456,4.135166073369469
530,765000,857835.705352493,92835.70535249298,12.135386320587319,,1063,1100000,1044653.7976625055,55346.20233749447,5.031472939772225
532,800000,930525.4377107322,130525.43771073222,16.31567971384153,,1100,1170000,1221304.797005777,51304.797005777014,4.385025385109147
533,755000,1040002.0344136255,285002.0344136255,37.748613829619266,,1102,1100000,1005401.9447374754,94598.05526252463,8.599823205684057
539,751000,771235.0834398385,20235.08343983849,2.694418567222169,,1103,1200000,1120417.8352257067,79582.16477429331,6.631847064524443
541,795000,838223.5410837103,43223.54108371027,5.436923406756009,,1111,1200000,1263810.653753003,63810.653753003106,5.317554479416925
546,775000,749197.507567597,25802.49243240303,3.329353862245552,,1116,1230000,1359753.781582945,129753.78158294503,10.549087933572766
547,765000,810053.3068341711,45053.30683417106,5.889321154793603,,1129,1200000,1153433.8966740922,46566.10332590784,3.88050861049232
549,770000,791142.8104703905,21142.810470390483,2.7458195416091535,,1135,1260000,1234105.9356223023,25894.06437769765,2.0550844744204486
550,770000,907305.7342148967,137305.73421489669,17.83191353440217,,1136,1270000,1350129.6341823817,80129.63418238168,6.309420014360762
551,800000,898959.2148618047,98959.21486180474,12.36990185772559,,1157,1200000,1132207.4594539546,67792.5405460454,5.649378378837117
552,756000,899799.5016692574,143799.5016692574,19.02109810439913,,1175,1200000,1170940.9857388225,29059.014261177508,2.4215845217647924
553,800000,828899.402008156,28899.402008155943,3.6124252510194927,,1176,1250000,1292797.2209066937,42797.22090669372,3.423777672535498
605,802000,779163.6168053653,22836.38319463469,2.8474293260143004,,1181,1220000,1205874.1838500684,14125.816149931634,1.1578537827812814
