Id,UnitNumber,StreetNumber,SuburbName,SuburbCode,SoldDate,DayOfWeek,DayType,HolidayStatus,SoldStatus,PropertyType,Bed,Bath,Garage,LongTermResidentPercent,RentedResidentPercent,SingleResident,Garden,Pool,Heating,Cooling,AvgDaysOnMarketSuburb,PropertySoldInSuburb,LandSize,BuildYear,NumOfTimesSold,NumOfTimesRented,LastSoldPrice,LastRentedPrice,LastSoldYear,LastRentedYear,MinTemp,MaxTemp,AvgRainfall,DistanceCBD,DistanceRailwayStation,DistanceBusStation,DistanceShoppingMall,DistanceSchool,PriceLowEnd,PriceHighEnd,LandArea,Frontage,Slop,ExternalPricePrediction,SimilarPropertyPrice1,SimilarPropertyPrice2,Price
15358,301,662,notting hill,3168,20170925,WkDay,MDay,WrkngDy,sold,AptFlat,1,1,1,0,88,58,N,N,N,N,71,38,NA,NA,0,0,NA,NA,NA,NA,10.3,14.2,1.6,23.5,6.6,1,1.7,7.33,NA,NA,NA,NA,NA,NA,NA,NA,185000
15362,9,662,notting hill,3168,20150416,WkDay,ThDay,WrkngDy,sold,AptFlat,1,1,1,0,88,58,Y,N,N,N,71,38,NA,NA,0,0,NA,NA,NA,NA,15.6,17.8,0,23.5,6.6,1,1.7,1.89,NA,NA,NA,NA,NA,NA,NA,NA,180000
15365,230,14531457,clayton,3168,20171213,WkDay,WDay,WrkngDy,sold,AptFlat,2,1,0,30,87,82,N,N,N,N,59.5,107.5,2220,2011,1,0,NA,NA,NA,NA,15.8,37.6,0,23.6,7.5,0.9,9.3,0.12,NA,NA,NA,NA,NA,NA,660000,595000,215000
15366,208,1728,clayton,3168,20170215,WkDay,WDay,WrkngDy,sold,AptFlat,2,1,1,30,87,82,N,N,N,N,59.5,107.5,1715,1970,1,0,NA,NA,NA,NA,10,31.5,0,23.7,13.9,5.7,5.1,0.15,215000,660000,NA,NA,NA,NA,660000,215000,225000
15370,112,662,notting hill,3168,20160610,WkDay,FDay,WrkngDy,sold,AptFlat,2,2,1,0,88,58,N,N,N,N,71,38,NA,NA,0,0,NA,NA,NA,NA,10.4,15.8,0,23.5,6.6,1,1.7,1.89,NA,NA,NA,NA,NA,NA,NA,NA,220000
15376,20,1457,clayton,3168,20170809,WkDay,WDay,WrkngDy,sold,AptFlat,2,1,1,30,87,82,N,N,N,N,59.5,107.5,NA,NA,1,2,NA,360,NA,2016,8.9,16.8,0,23.6,7.5,0.8,9.3,0.11,NA,NA,NA,NA,NA,NA,660000,215000,240000
15378,9,7880,clayton,3168,20160908,WkDay,ThDay,WrkngDy,sold,AptFlat,2,1,1,14,87,74,N,N,N,N,59.5,107.5,1599,1970,3,6,80000,400,1991,2017,13.1,23.3,0,25.4,29.7,1.6,10.4,1.41,275000,360000,NA,NA,NA,NA,468000,640000,300000
15379,18,2,clayton,3168,20160329,WkDay,TuDay,WrkngDy,sold,Hse,2,1,1,0,79,47,Y,Y,N,N,59.5,107.5,2555,2000,3,3,220000,320,2006,2013,14.5,17.9,0,24.7,1.6,1.3,1.9,1.15,325000,603000,NA,NA,NA,NA,640000,340000,294000
15380,10,1927,clayton,3168,20141126,WkDay,WDay,WrkngDy,sold,AptFlat,3,1,1,30,87,82,N,N,N,N,59.5,107.5,NA,NA,6,2,250000,355,2008,2017,12,18.9,0,23.5,13.8,5.6,5,0.23,370000,480000,NA,NA,NA,NA,675850,712000,275000
15381,10,2,clayton,3168,20170326,WkEnd,SDay,WrkngDy,sold,AptFlat,1,1,0,57,54,55,N,N,N,N,59.5,107.5,48,1960,1,0,NA,NA,NA,NA,19.3,26.7,0,24.2,0.2,0.07,0.7,1.34,NA,NA,NA,NA,NA,NA,NA,NA,288000
15382,6,7880,clayton,3168,20160525,WkDay,WDay,WrkngDy,sold,Hse,2,1,2,14,87,74,N,N,N,N,59.5,107.5,1599,1970,4,2,98000,300,1999,2013,7.6,15.6,0,25.4,29.7,1.6,10.4,1.41,300000,660000,NA,NA,NA,NA,468000,640000,290000
15383,1,3,clayton,3168,20150805,WkDay,WDay,WrkngDy,sold,AptFlat,2,1,0,43,57,53,N,N,N,N,59.5,107.5,1001,1965,2,2,64900,250,1988,2009,6.6,10.8,1,23.6,0.4,0.4,0.4,1.21,385000,660000,NA,NA,NA,NA,468000,640000,300000
15384,10,7880,clayton,3168,20150714,WkDay,TuDay,WrkngDy,sold,AptFlat,2,1,0,14,87,74,N,N,N,N,59.5,107.5,1599,1970,4,2,63000,360,1988,2017,8.1,9.8,3.8,25.4,29.7,1.6,10.4,1.41,275000,360000,NA,NA,NA,NA,545000,558000,280000
15404,13,NA,notting hill,3168,20171113,WkDay,MDay,WrkngDy,sold,AptFlat,1,1,1,0,67,55,N,N,Y,N,71,38,NA,NA,3,3,270000,300,2013,2015,13.7,33,0,23.7,0.8,0.5,2.9,7.4,NA,NA,NA,NA,NA,NA,340500,345500,275000
15405,224,662,notting hill,3168,20170717,WkDay,MDay,WrkngDy,sold,AptFlat,2,2,1,0,88,58,N,N,N,N,71,38,NA,NA,0,0,NA,NA,NA,NA,5.7,15.3,0,23.5,6.6,1,1.7,7.33,NA,NA,NA,NA,NA,NA,NA,NA,290000
15406,312,662,notting hill,3168,20170524,WkDay,WDay,WrkngDy,sold,AptFlat,2,2,1,0,88,58,Y,N,N,N,71,38,NA,NA,0,0,NA,NA,NA,NA,11.7,17.1,0,23.5,6.6,1,1.7,7.33,NA,NA,NA,NA,NA,NA,NA,NA,270000
15407,21,3,notting hill,3168,20160627,WkDay,MDay,WrkngDy,sold,AptFlat,1,1,1,0,67,55,N,N,Y,Y,71,38,2381,1960,3,1,250000,1304,2007,2015,4.8,10.6,0.2,23.7,1,0.3,2.7,7.26,275000,495000,2475,NA,GntlyInclnd,NA,275000,340500,286500
15408,17,1,notting hill,3168,20150611,WkDay,ThDay,WrkngDy,sold,AptFlat,2,1,1,0,88,58,N,N,Y,N,71,38,6277,1995,2,0,280000,NA,2009,NA,5.7,14,nan,23.8,1.1,0.4,2.8,7.2,335000,440000,NA,NA,NA,NA,337000,415000,300000
15409,11,1,notting hill,3168,20150127,WkDay,TuDay,WrkngDy,sold,AptFlat,2,1,1,0,88,58,N,N,N,N,71,38,NA,NA,2,3,260000,340,2004,2017,11.7,19.1,0.6,23.8,1.1,0.4,2.8,7.2,315000,415000,NA,NA,NA,NA,558000,478000,265000
15410,6,1,notting hill,3168,20140730,WkDay,WDay,WrkngDy,sold,AptFlat,2,1,1,0,88,58,N,N,N,N,71,38,6277,1995,3,2,292000,350,2014,2016,12.1,19.3,0,23.8,1.1,0.4,2.8,7.2,370000,480000,NA,NA,NA,NA,337000,415000,292000
15411,3,3,notting hill,3168,20140703,WkDay,ThDay,WrkngDy,sold,AptFlat,1,1,1,0,67,55,N,N,Y,N,71,38,2381,1960,3,2,225000,310,2008,2017,7.4,13.1,0,23.7,1,0.3,2.7,7.26,315000,415000,2475,NA,GntlyInclnd,NA,1200000,962000,280000
15418,1,22,clayton,3168,20150603,WkDay,WDay,WrkngDy,sold,AptFlat,2,1,1,30,72,52,N,N,N,N,59.5,107.5,1003,1960,5,3,136500,260,2001,2010,8.1,13.6,0.8,24.7,0.9,0.9,1.2,0.98,325000,603000,NA,NA,NA,NA,468000,640000,295800
15420,205,662,notting hill,3168,20170823,WkDay,WDay,WrkngDy,sold,AptFlat,2,2,1,0,88,58,N,N,Y,N,71,38,NA,NA,0,0,NA,NA,NA,NA,8.3,18.1,0,23.5,6.6,1,1.7,7.33,NA,NA,NA,NA,NA,NA,NA,NA,290000
15421,14,210220,notting hill,3168,20170423,WkEnd,SDay,WrkngDy,sold,AptFlat,1,1,1,0,67,55,N,N,N,N,71,38,5470,2000,1,1,NA,330,NA,2009,14.4,21.8,0,23.7,0.8,0.5,2.9,7.4,250000,325000,NA,NA,NA,NA,275000,340500,272000
15422,21,210,notting hill,3168,20170403,WkDay,MDay,WrkngDy,sold,AptFlat,1,1,1,0,67,55,N,N,Y,N,71,38,5470,2000,2,0,285000,NA,2007,NA,8.2,21.5,0,23.7,0.8,0.5,2.9,7.4,250000,325000,NA,NA,NA,NA,275000,340500,280000
15423,17,2,notting hill,3168,20170124,WkDay,TuDay,WrkngDy,sold,AptFlat,1,1,1,0,88,58,N,N,N,N,71,38,NA,NA,2,3,325000,310,2009,2016,19.1,22,0.6,23.3,0.7,0.7,2.5,7.15,275000,360000,723,NA,GntlyInclnd,NA,275000,340500,300000
15424,3,662,notting hill,3168,20170110,WkDay,TuDay,WrkngDy,sold,AptFlat,2,2,1,0,88,58,Y,N,N,N,71,38,NA,NA,0,0,NA,NA,NA,NA,17.7,26.2,0,23.5,6.6,1,1.7,7.33,NA,NA,NA,NA,NA,NA,NA,NA,266000
15427,6,18,clayton,3168,20170722,WkEnd,SDay,WrkngDy,sold,AptFlat,2,1,1,25,73,77,N,N,N,N,59.5,107.5,767,1960,3,1,260000,380,2007,2017,5.4,12.4,0,22.8,2.3,0.9,1.7,0.66,335000,440000,NA,NA,NA,388333,468000,640000,342000
15429,21,1,clayton,3168,20161215,WkDay,ThDay,WrkngDy,sold,AptFlat,1,1,1,0,79,47,N,Y,Y,N,59.5,107.5,3170,2000,2,0,220000,NA,2007,NA,11.7,18.6,0,24.6,1.6,1.3,1.9,1.17,NA,NA,NA,NA,NA,NA,640000,660000,327000
15430,8,2,clayton,3168,20161214,WkDay,WDay,WrkngDy,sold,AptFlat,2,1,1,0,79,47,N,Y,N,N,59.5,107.5,3669,2000,2,3,269000,370,2007,2016,15.7,19.3,0,24.6,1.6,1.3,1.9,1.19,315000,415000,NA,NA,NA,NA,640000,340000,343000
15431,9,7880,clayton,3168,20160908,WkDay,ThDay,WrkngDy,sold,AptFlat,2,1,1,14,87,74,N,N,N,N,59.5,107.5,1599,1970,3,6,80000,400,1991,2017,13.1,23.3,0,25.4,29.7,1.6,10.4,1.41,275000,360000,NA,NA,NA,NA,468000,640000,300000
15432,8,24,clayton,3168,20151217,WkDay,ThDay,WrkngDy,sold,AptHse,2,1,1,30,72,52,N,N,N,N,59.5,107.5,1144,1970,2,2,277500,330,2011,2017,16.9,37.2,0,24.6,0.9,0.9,1.2,0.99,335000,440000,NA,NA,NA,NA,468000,640000,315000
