Idss,Id
574110.75,95
502680.0,121
526521.3,130
484781.25,135
603481.5,138
614568.06,142
768982.5,202
1081660.9,252
740494.44,274
702737.75,278
802291.06,279
768160.25,336
643719.94,359
787591.75,361
931287.4,363
821473.4,364
749074.2,368
1028318.75,369
1269087.9,370
723876.4,435
697353.5,439
664646.5,442
702846.2,454
600738.75,459
889113.1,461
840972.9,462
990624.56,464
1001259.4,465
863244.6,522
764951.0,526
917894.56,527
900799.9,528
821415.75,529
1118715.1,530
1113871.6,532
1162742.9,533
634177.7,539
851960.4,541
810264.75,546
795475.8,547
878891.6,549
1135185.0,550
1008300.75,551
1009415.94,552
894370.8,553
747187.06,605
803718.1,606
877337.06,608
882071.6,611
982469.6,612
835951.75,614
914281.06,615
1333836.0,617
1152740.8,618
997829.9,626
785745.25,627
1018736.1,631
728916.9,632
785181.0,634
1046499.9,636
941084.1,638
1028765.75,640
978970.94,641
1107575.8,642
1088593.8,644
1072628.5,647
839914.5,648
1004099.9,651
996073.75,652
1031948.25,653
1231874.0,654
1146981.4,655
914271.1,698
961469.1,701
836096.56,707
998378.5,709
1114291.8,711
973168.7,713
918250.75,714
1128851.2,716
1252484.0,717
1134047.9,735
1231247.1,740
1225113.9,741
1310681.2,744
1407146.2,745
1038177.5,783
1097030.5,784
815239.8,790
701868.7,791
1153526.1,796
1074512.9,797
1147131.2,798
786563.4,808
754508.7,809
1065728.1,810
967400.75,814
1183570.0,815
959083.4,816
1008509.25,817
930419.6,818
998034.5,819
1150719.2,820
1023802.0,821
1198179.5,822
1117994.1,825
1307323.6,826
1234545.0,827
1179868.9,829
1253296.0,830
1220021.1,831
1240988.4,832
1462927.0,833
1127854.2,834
1020785.9,861
898362.25,868
902259.1,869
1052273.9,870
1268185.2,871
1063487.0,872
1171597.4,875
1112916.5,876
1160300.8,877
1147867.2,878
936232.6,885
977555.0,887
939819.5,889
1110747.8,891
1105605.1,892
1256193.0,894
1165201.1,896
1145661.0,897
1256499.0,898
1305838.5,899
1254410.1,900
1254579.0,901
1178748.0,902
995275.56,918
1141031.8,919
1157840.4,920
989087.6,923
1037626.06,926
881009.0,927
1128332.1,928
1133594.8,931
1184932.5,933
1109566.8,934
1227413.9,935
1058961.2,936
1056188.4,937
1103598.9,939
1158382.5,942
1378633.1,943
1271024.8,944
1341660.9,945
1226681.8,946
1312311.5,947
1084193.9,956
871345.06,957
882534.75,958
904439.25,959
1058709.8,961
1044373.9,962
1198308.5,963
1123872.0,964
1027922.1,965
824330.9,966
1157189.0,967
1224011.4,968
1303484.0,970
1308103.4,972
1389376.0,973
1102701.4,1000
901858.4,1005
1133516.9,1006
1221064.5,1008
1105621.5,1011
1141126.6,1012
1055256.9,1013
1219700.2,1015
1107085.9,1018
1246331.0,1019
1147132.8,1021
1166922.4,1022
1128496.2,1023
1131044.0,1024
1210712.8,1025
908313.3,1027
1113217.5,1028
1127871.5,1029
1188764.0,1030
1190863.9,1031
1154674.2,1032
1081279.0,1045
975696.75,1048
933947.6,1049
1014587.0,1050
1077564.4,1051
928225.5,1052
1088798.0,1053
1078856.0,1054
1227577.8,1055
1183709.6,1062
1500714.0,1065
1254807.2,1068
1488565.8,1070
1323008.8,1072
1456001.2,1073
1312012.6,1075
1416023.0,1076
1390935.5,1077
1345425.5,1078
1351936.4,1079
1382585.5,1080
1113940.5,1098
1127493.4,1099
1114477.0,1101
1169207.4,1104
1147187.2,1110
1256376.5,1113
1241710.5,1114
1291625.4,1117
1231218.8,1118
1451396.5,1119
1065420.2,1121
1189910.4,1123
1310142.2,1124
1274162.9,1125
1287686.2,1126
1116779.8,1127
1260847.5,1128
1393707.4,1130
1398825.9,1131
1407162.8,1132
1158191.1,1133
1324023.5,1134
1392911.9,1137
1441359.8,1138
1258743.6,1139
1486632.4,1140
1518181.2,1141
1232114.8,1146
1075383.2,1152
930441.44,1153
1155614.5,1154
1099186.5,1155
1065098.5,1156
1245007.5,1159
1136066.8,1160
1124981.8,1161
1300025.5,1162
1307356.8,1163
1219700.6,1164
1218147.1,1165
1176291.5,1166
1253609.0,1167
1282636.4,1168
1317872.0,1169
1222686.0,1170
1252514.6,1171
1281471.5,1172
1267622.8,1173
1387637.9,1174
1225123.8,1177
1502524.2,1179
1269103.2,1180
1474197.9,1183
1498955.9,1184
1451495.2,1188
