
,DNN REGRESSION,,,,,DNN  SHALLOW

ID,ActualPrice,DNN_PRICE,Difference,Percent_DIFF,,ID,ActualPrice,DNN_Shallow_PRICE,Difference,Percent_DIFF

95,500000,417300.2,82699.79999999999,16.539959999999997,,95,500000,501202.5,1202.5,0.2405
121,460000,458340.88,1659.1199999999953,0.3606782608695642,,121,460000,475258.47,15258.469999999972,3.3170586956521677
130,535000,556391.1,21391.099999999977,3.9983364485981263,,130,535000,515883.2,19116.79999999999,3.573233644859811
135,530000,628230.44,98230.43999999994,18.53404528301886,,135,530000,632745.94,102745.93999999994,19.386026415094328
138,525088,529973.75,4885.75,0.9304630842830154,,138,525088,548806.9,23718.900000000023,4.517128557498938
142,550000,463150.2,86849.79999999999,15.790872727272724,,142,550000,546540.7,3459.3000000000466,0.6289636363636448
202,596000,641266.06,45266.060000000056,7.594976510067124,,202,596000,688214.9,92214.90000000002,15.472298657718124
252,555000,961276.4,406276.4,73.20295495495496,,252,555000,865826.1,310826.1,56.004702702702694
274,650000,491162.56,158837.44,24.43652923076923,,274,650000,652238.75,2238.75,0.34442307692307694
278,650000,647907.1,2092.9000000000233,0.321984615384619,,278,650000,650665.2,665.1999999999534,0.10233846153845437
279,645000,649509.2,4509.199999999953,0.6991007751937912,,279,645000,613308.44,31691.560000000056,4.913420155038768
336,638000,527900.94,110099.06000000006,17.25690595611286,,336,638000,737712.94,99712.93999999994,15.628987460815038
359,660000,567041.56,92958.43999999994,14.084612121212112,,359,660000,609880.7,50119.30000000005,7.5938333333333405
361,675000,606419.1,68580.90000000002,10.160133333333336,,361,675000,653228.75,21771.25,3.22537037037037
363,675000,710087.3,35087.30000000005,5.198118518518525,,363,675000,749384.06,74384.06000000006,11.019860740740748
364,658000,582920.4,75079.59999999998,11.410273556231001,,364,658000,685531.75,27531.75,4.184156534954408
368,681000,579259.1,101740.90000000002,14.939926578560943,,368,681000,665116.3,15883.699999999953,2.332408223201168
369,665000,975824.75,310824.75,46.74056390977444,,369,665000,950607.8,285607.80000000005,42.94854135338346
370,700000,1132027.9,432027.8999999999,61.71827142857142,,370,700000,1127096.5,427096.5,61.01378571428572
435,711500,838985.1,127485.09999999998,17.917793394237524,,435,711500,822757.9,111257.90000000002,15.637090653548842
439,745000,752043.2,7043.199999999953,0.9453959731543562,,439,745000,768556.0,23556.0,3.1618791946308726
442,722000,589934.94,132065.06000000006,18.291559556786712,,442,722000,637789.25,84210.75,11.663538781163435
454,740000,817519.6,77519.59999999998,10.475621621621618,,454,740000,860732.4,120732.40000000002,16.31518918918919
459,748000,530322.9,217677.09999999998,29.101216577540104,,459,748000,713482.8,34517.19999999995,4.614598930481277
461,725000,794615.2,69615.19999999995,9.60209655172413,,461,725000,751326.56,26326.560000000056,3.6312496551724216
462,726000,685624.3,40375.69999999995,5.561391184572996,,462,726000,730457.9,4457.900000000023,0.6140358126721795
464,732000,774379.56,42379.560000000056,5.789557377049188,,464,732000,732254.3,254.30000000004657,0.03474043715847631
465,720000,853339.1,133339.09999999998,18.51931944444444,,465,720000,880664.56,160664.56000000006,22.31452222222223
522,790000,829933.44,39933.439999999944,5.054865822784803,,522,790000,821157.0,31157.0,3.943924050632911
526,780000,741605.9,38394.09999999998,4.92232051282051,,526,780000,796341.4,16341.400000000023,2.095051282051285
527,788000,844638.25,56638.25,7.187595177664974,,527,788000,861581.1,73581.09999999998,9.337703045685277
528,785000,781362.7,3637.3000000000466,0.4633503184713435,,528,785000,819125.25,34125.25,4.347165605095541
529,785000,676528.06,108471.93999999994,13.818081528662413,,529,785000,740851.44,44148.560000000056,5.624020382165612
530,765000,853090.44,88090.43999999994,11.515090196078424,,530,765000,901782.94,136782.93999999994,17.880122875816987
532,800000,857523.2,57523.19999999995,7.190399999999994,,532,800000,855878.0,55878.0,6.98475
533,755000,1183124.6,428124.6000000001,56.70524503311259,,533,755000,1073509.1,318509.1000000001,42.186635761589415
539,751000,818578.1,67578.09999999998,8.9984154460719,,539,751000,794790.2,43790.19999999995,5.830918774966705
541,795000,802870.8,7870.800000000047,0.9900377358490624,,541,795000,803022.7,8022.699999999953,1.0091446540880444
546,775000,772118.9,2881.0999999999767,0.3717548387096744,,546,775000,716897.7,58102.30000000005,7.497070967741942
547,765000,646619.5,118380.5,15.474575163398693,,547,765000,793745.1,28745.099999999977,3.7575294117647027
549,770000,615819.25,154180.75,20.023474025974025,,549,770000,749287.7,20712.300000000047,2.689909090909097
550,770000,1011041.5,241041.5,31.30409090909091,,550,770000,993669.0,223669.0,29.047922077922077
551,800000,824521.94,24521.939999999944,3.065242499999993,,551,800000,930767.94,130767.93999999994,16.345992499999994
552,756000,902464.9,146464.90000000002,19.373664021164025,,552,756000,861553.3,105553.30000000005,13.962076719576725
553,800000,771965.6,28034.400000000023,3.504300000000003,,553,800000,761632.8,38367.19999999995,4.795899999999994
605,802000,679669.06,122330.93999999994,15.25323441396508,,605,802000,979491.75,177491.75,22.13114089775561
606,837500,808047.8,29452.199999999953,3.5166805970149198,,606,837500,972968.94,135468.93999999994,16.175395820895517
608,835000,769109.1,65890.90000000002,7.891125748502996,,608,835000,880334.94,45334.939999999944,5.42933413173652
611,845000,961665.75,116665.75,13.806597633136095,,611,845000,967041.1,122041.09999999998,14.44273372781065
612,810000,786894.6,23105.400000000023,2.8525185185185213,,612,810000,811569.75,1569.75,0.1937962962962963
614,802000,788287.3,13712.699999999953,1.7098129675810416,,614,802000,763049.75,38950.25,4.856639650872818
