Idss,Id
548448.75,95
455873.97,121
473892.88,130
471045.94,135
547887.25,138
654541.7,142
788309.0,202
1012356.44,252
782461.9,274
659062.8,278
797732.0,279
802862.56,336
637449.56,359
750009.5,361
902705.75,363
860669.3,364
769710.25,368
1045748.1,369
1209427.2,370
754203.2,435
696129.5,439
650757.56,442
659145.6,454
668759.44,459
867621.6,461
820134.56,462
942551.1,464
994772.4,465
861587.5,522
742639.0,526
870138.2,527
955623.56,528
806756.8,529
1084738.4,530
1057751.0,532
1212254.6,533
654813.0,539
812268.56,541
757371.94,546
783669.5,547
912545.44,549
1121697.5,550
1038452.56,551
990212.94,552
870912.06,553
739239.5,605
802927.3,606
858348.56,608
894830.06,611
934769.3,612
812348.56,614
899716.25,615
1294170.9,617
1175613.2,618
1035304.8,626
735449.2,627
960008.3,631
774447.94,632
766125.9,634
1029143.0,636
961763.8,638
1028248.56,640
936059.2,641
1148064.2,642
1024864.1,644
1037486.0,647
869765.1,648
992132.94,651
996400.8,652
1006711.44,653
1218561.9,654
1113515.9,655
875498.2,698
991540.9,701
798430.0,707
915700.1,709
1172681.4,711
988164.44,713
870506.9,714
1111485.1,716
1255439.0,717
1092875.8,735
1182859.2,740
1212830.8,741
1263616.5,744
1378870.6,745
992270.6,783
1063605.9,784
789090.9,790
732499.75,791
1129818.4,796
1063397.2,797
1116191.8,798
821074.25,808
756029.25,809
1000374.5,810
921744.6,814
1160779.6,815
913503.2,816
1035195.6,817
953917.6,818
954233.9,819
1065344.1,820
1016370.44,821
1142244.0,822
1089400.8,825
1323161.4,826
1161199.0,827
1161295.8,829
1228062.8,830
1182405.8,831
1269862.2,832
1517865.6,833
1093727.5,834
1020129.75,861
946991.06,868
865747.6,869
1111219.6,870
1182992.6,871
1049374.5,872
1114073.5,875
1137162.4,876
1161234.6,877
1134725.2,878
908784.5,885
1007669.1,887
897157.9,889
1106090.8,891
1072112.0,892
1263648.5,894
1227575.9,896
1093258.4,897
1296856.5,898
1280717.8,899
1202867.1,900
1204751.5,901
1247937.2,902
980811.6,918
1199994.5,919
1187817.0,920
1079947.8,923
1072051.6,926
899200.0,927
1130492.0,928
1165870.4,931
1134394.1,933
1063280.0,934
1236858.2,935
1044049.0,936
978429.1,937
1102256.5,939
1165673.5,942
1427536.1,943
1215744.0,944
1301315.1,945
1314178.4,946
1383771.6,947
1002194.9,956
884667.1,957
848800.06,958
896684.9,959
1092946.4,961
1055323.8,962
1208385.1,963
1078560.5,964
1027944.75,965
791128.25,966
1096686.8,967
1167069.2,968
1369491.1,970
1278700.2,972
1466678.6,973
1032813.25,1000
963542.2,1005
1108116.5,1006
1149504.2,1008
1072129.6,1011
1148404.5,1012
1148202.8,1013
1285565.5,1015
1152580.8,1018
1232769.1,1019
1116194.6,1021
1187415.6,1022
1132311.2,1023
1098297.6,1024
1149892.6,1025
961995.94,1027
1128151.1,1028
1093751.2,1029
1181239.6,1030
1205490.2,1031
1150872.2,1032
1048770.8,1045
967528.56,1048
964078.94,1049
1011021.44,1050
1081366.0,1051
946386.44,1052
1097653.5,1053
1126239.9,1054
1230416.5,1055
1209443.4,1062
1494786.0,1065
1184089.8,1068
