Id,StreetName,UnitNumber,StreetNumber,SuburbName,SuburbCode,SoldDate,DayOfWeek,DayType,HolidayStatus,SoldStatus,PropertyType,Bed,Bath,Garage,LongTermResidentPercent,RentedResidentPercent,SingleResident,Garden,Pool,Heating,Cooling,AvgDaysOnMarketSuburb,PropertySoldInSuburb,LandSize,BuildYear,NumOfTimesSold,NumOfTimesRented,LastSoldPrice,LastRentedPrice,LastSoldYear,LastRentedYear,MinTemp,MaxTemp,AvgRainfall,DistanceCBD,DistanceRailwayStation,DistanceBusStation,DistanceShoppingMall,DistanceSchool,PriceLowEnd,PriceHighEnd,Frontage,Slop,ExternalPricePrediction,SimilarPropertyPrice1,SimilarPropertyPrice2,SalePrice
63,Gillard Street,TWO,SIX,burwood,3125,20160206,WkEnd,SDay,WrkngDy,sold,VacLnd,0,0,0,47,48,71,N,N,N,N,108.5,116.5,0,1950,2,0,230000,0,2009,0,16.5,32.6,0,17.6,1,0.5,2.2,1.09,0,0,0,NA,0,1510000,1880000,408500
64,Yarra Bing Crescent,TWO,SIX,burwood,3125,20171102,WkDay,ThDay,WrkngDy,sold,AptFlat,2,1,1,66,48,68,N,N,Y,Y,108.5,116.5,2558,2011,1,1,0,440,0,2015,11.3,17.4,1.4,19.5,1.6,0.1,1.7,2.47,0,0,0,GntlyInclnd,0,840000,541500,445000
65,Yarra Bing Crescent,ONE,SIX,burwood,3125,20161108,WkDay,TuDay,WrkngDy,sold,AptFlat,2,1,2,66,48,68,N,N,N,N,108.5,116.5,2558,2011,1,0,0,0,0,0,11,18.2,0.2,19.5,1.6,0.1,1.7,2.55,470000,615000,0,GntlyInclnd,0,670000,739000,450000
88,McComas Grove,ONE,FOUR,burwood,3125,20151127,WkDay,FDay,WrkngDy,sold,AptFlat,3,1,2,41,64,76,N,N,N,N,108.5,116.5,0,1975,5,3,394000,395,2009,2015,9,18.2,0.4,17.1,1,0.4,2.3,1.43,0,0,0,NA,603333,900890,420000,498000
89,Yarra Bing Crescent,NA,TWO,burwood,3125,20150516,WkEnd,SDay,WrkngDy,sold,AptFlat,2,1,1,66,48,68,N,N,N,N,108.5,116.5,1972,2010,1,1,0,399,0,2012,11.3,16.2,0,19.3,1.4,0.3,1.5,2.54,450000,585000,0,NA,0,670000,758000,475000
90,Somers Street,FOUR,TWO,burwood,3125,20150314,WkEnd,SDay,WrkngDy,sold,Hse,2,1,1,54,35,47,N,N,Y,N,108.5,116.5,87,1965,2,2,102500,310,1993,2011,9.4,30.1,0,15.9,0.2,0.09,0.7,2.1,495000,645000,0,NA,0,541500,1050000,475000
94,Burwood Highway,SIX,FIVE,burwood,3125,20141108,WkEnd,SDay,WrkngDy,sold,AptFlat,2,1,2,66,48,68,N,N,Y,Y,108.5,116.5,1085,2011,1,2,0,500,0,2017,18,34.9,0,18.9,18.1,11.2,3.1,2.26,495000,645000,21.9,NrlyLvl,0,670000,739000,495000
95,Bronte Avenue,FOUR,NINE,burwood,3125,20140628,WkEnd,SDay,WrkngDy,sold,AptFlat,2,1,1,57,33,61,Y,N,Y,N,108.5,116.5,176,1965,2,4,360000,360,2007,2015,9.7,13.3,0,18.1,0.2,0.2,2,2.84,520000,680000,0,NA,618667,670000,739000,500000
120,Yarra Bing  Crescent,FIVE,SIX,burwood,3125,20170826,WkEnd,SDay,WrkngDy,sold,AptFlat,2,1,2,66,48,68,Y,N,Y,Y,108.5,116.5,0,0,2,0,540000,0,2012,0,9.9,15.3,0,19.5,1.6,0.1,1.7,2.47,0,0,0,NA,0,1080000,1200000,485000
121,Highbury Road,TWO,FIVE,burwood,3125,20141010,WkDay,FDay,WrkngDy,sold,AptFlat,2,1,1,56,35,52,N,N,Y,Y,108.5,116.5,1174,2009,2,0,410000,0,2009,0,13.8,24.5,0,25.4,3.4,5.3,3.6,1.56,450000,585000,0,NA,458000,723000,670000,460000
128,Burwood Highway,FIVE,FIVE,burwood,3125,20160108,WkDay,FDay,WrkngDy,sold,AptFlat,2,1,1,66,48,68,N,N,Y,Y,108.5,116.5,1081,2011,1,0,0,0,0,0,16.2,20.6,0,18.9,18.1,11.2,3.1,2.26,410000,758000,21.9,NrlyLvl,0,670000,739000,518000
129,Roslyn Street,SEVEN,FIVE,burwood,3125,20151205,WkEnd,SDay,WrkngDy,sold,AptFlat,2,1,1,54,35,47,Y,N,Y,N,108.5,116.5,0,0,3,0,295000,0,2004,0,15.5,25.3,0,16.7,0.3,0.3,0.9,2.11,510000,910000,0,NA,624333,541500,1050000,535000
130,Highbury Road,FOUR,FIVE,burwood,3125,20151017,WkEnd,SDay,WrkngDy,sold,AptFlat,2,2,1,56,35,52,Y,N,Y,Y,108.5,116.5,1169,2009,3,0,475000,0,2013,0,11.5,20.5,0,25.4,3.4,5.3,3.6,1.56,450000,585000,0,NA,546000,739000,439000,535000
131,Elgar Road,ONE,NINE,burwood,3125,20150411,WkEnd,SDay,WrkngDy,sold,AptFlat,2,1,1,43,34,52,Y,N,N,N,108.5,116.5,0,1965,5,1,387000,210,2008,2004,11.6,23.7,0,17,0.8,0.8,7.3,1.97,0,0,0,NA,716667,1300000,1650000,543500
133,Highbury Road,ONE,FIVE,burwood,3125,20161118,WkDay,FDay,WrkngDy,sold,AptFlat,2,2,1,56,35,52,Y,N,Y,N,108.5,116.5,1174,2009,0,0,0,0,0,0,15.3,18.9,0,25.4,3.4,5.3,3.6,1.56,0,0,0,NA,474667,0,0,505000
